#
# This scattering intensity file was created by WAXSiS
#
# q[A-1]        I(q)              sigma(q)
0.334446 0.0262405 0.0208158
0.335257 0.0401671 0.0204796
0.336069 0.000124002 0.0210399
0.33688 0.0282414 0.0211144
0.337691 0.0033861 0.0213418
0.338503 -0.0119065 0.0206938
0.339314 -0.0252599 0.0201822
0.340126 -0.0141246 0.0211158
0.340937 0.00498736 0.0206311
0.341748 0.0648261 0.0213274
0.34256 0.0271653 0.0208144
0.343371 0.00832574 0.0207397
0.344182 0.0268514 0.0210013
0.344994 0.00471786 0.020784
0.345805 0.00784752 0.0209776
0.346617 -0.0315413 0.0204501
0.347428 0.0687808 0.0209591
0.348239 -0.0195387 0.0198821
0.349051 0.0384935 0.0209657
0.349862 0.00500561 0.0207559
0.350673 -0.00918599 0.0210735
0.351485 0.00864391 0.0209039
0.352296 0.00897691 0.0203226
0.353108 -0.0195757 0.0198281
0.353919 0.00804201 0.020016
0.35473 0.0355005 0.0213449
0.355542 0.000613205 0.0204314
0.356353 -0.0120372 0.021095
0.357164 0.0732884 0.019892
0.357976 -0.00144014 0.0196006
0.358787 -0.01577 0.0212494
0.359599 -0.00386605 0.0210072
0.36041 -0.00171838 0.0201818
0.361221 0.0225372 0.0199713
0.362033 0.0346014 0.0205634
0.362844 -0.0330839 0.0202109
0.363655 0.0352836 0.0210288
0.364467 0.0223761 0.0206168
0.365278 0.031509 0.0204606
0.36609 0.0599466 0.0211654
0.366901 -0.0374124 0.0207175
0.367712 0.00215119 0.0212062
0.368524 -0.0179956 0.0202038
0.369335 0.0224993 0.0207609
0.370146 -0.0191195 0.0211007
0.370958 -0.00954354 0.0197495
0.371769 0.00126474 0.0201937
0.372581 0.00816411 0.0202474
0.373392 0.0146718 0.020399
0.374203 0.0277631 0.0205771
0.375015 0.00654007 0.0205744
0.375826 0.0207718 0.0201547
0.376637 0.0135862 0.0206451
0.377449 0.00273408 0.0197107
0.37826 0.00293689 0.0213057
0.379072 0.00827908 0.0200527
0.379883 -0.00821928 0.0201256
0.380694 0.00031307 0.0193643
0.381506 0.018556 0.018936
0.382317 0.0194458 0.0200818
0.383128 0.00542513 0.0204254
0.38394 -0.00821528 0.020225
0.384751 0.0390298 0.0196327
0.385562 0.0269126 0.0191687
0.386374 0.0193837 0.0194679
0.387185 0.0346568 0.0191862
0.387997 0.0306557 0.0201421
0.388808 0.00997568 0.0201639
0.389619 0.0394486 0.0204769
0.390431 0.0120587 0.0198804
0.391242 0.0400839 0.0205723
0.392053 0.023948 0.0198017
0.392865 0.0463987 0.0199881
0.393676 0.00531788 0.0199254
0.394488 0.0319883 0.0196669
0.395299 0.039081 0.0201934
0.39611 0.039427 0.0206584
0.396922 0.0306434 0.0192074
0.397733 0.0149057 0.0198366
0.398544 -0.0178658 0.0202652
0.399356 -0.0242894 0.0200369
0.400167 -0.00593671 0.0206233
0.400979 -0.0319093 0.0203256
0.40179 -0.0119667 0.0202992
0.402601 0.0326543 0.0202648
0.403413 0.0443753 0.0203691
0.404224 0.0109989 0.0199324
0.405035 -0.0297689 0.0201877
0.405847 0.00515184 0.0193887
0.406658 0.00655561 0.0199965
0.40747 -0.0098873 0.0200228
0.408281 0.00659486 0.0200593
0.409092 -0.0149713 0.0202901
0.409904 0.0125277 0.0200066
0.410715 0.0328545 0.0201125
0.411526 0.00975766 0.0206627
0.412338 -0.000584553 0.0205245
0.413149 -0.000216119 0.0199959
0.413961 -0.00559941 0.0207335
0.414772 0.00253997 0.0196979
0.415583 0.00480883 0.0201087
0.416395 -0.00909294 0.0198614
0.417206 -0.00254781 0.0200671
0.418017 0.0422661 0.0200742
0.418829 0.021045 0.0205093
0.41964 0.0398038 0.0202369
0.420452 0.00626054 0.0192583
0.421263 0.0260156 0.0196773
0.422074 0.00996576 0.0200815
0.422886 0.0257847 0.0200909
0.423697 0.0324149 0.0200408
0.424508 0.0476541 0.0198825
0.42532 0.0256243 0.0198492
0.426131 0.00934067 0.0197345
0.426943 -0.00356457 0.0199576
0.427754 0.0355635 0.0200376
0.428565 -0.00924613 0.0204655
0.429377 0.0341802 0.0204283
0.430188 0.00940033 0.0202422
0.430999 0.019335 0.0196499
0.431811 0.00757248 0.0195576
0.432622 0.00114187 0.0202505
0.433434 0.00157601 0.0205417
0.434245 0.0380913 0.0198775
0.435056 0.0332228 0.0204472
0.435868 0.0173012 0.0201763
0.436679 0.0302917 0.019475
0.43749 -0.00787011 0.0200533
0.438302 -0.00550765 0.0203769
0.439113 0.042815 0.0199094
0.439924 -0.000284165 0.0201878
0.440736 0.0139093 0.0200344
0.441547 0.00256726 0.020087
0.442359 0.0323558 0.020556
0.44317 0.0220766 0.0201475
0.443981 0.021798 0.0205989
0.444793 0.00369597 0.0196007
0.445604 0.00800267 0.020262
0.446415 0.00100139 0.0205273
0.447227 -0.0087805 0.0198375
0.448038 0.0352718 0.0190223
0.44885 -0.0305909 0.0196447
0.449661 0.0266125 0.0199438
0.450472 0.0236457 0.0197458
0.451284 0.0157395 0.0197155
0.452095 0.0302634 0.0201298
0.452906 0.00536448 0.0194354
0.453718 0.0239277 0.0197841
0.454529 0.0482779 0.0197911
0.455341 0.031328 0.0203346
0.456152 0.0198412 0.0194729
0.456963 0.0459379 0.0204847
0.457775 0.0222556 0.0199859
0.458586 0.0467522 0.0190288
0.459397 0.0148163 0.0184243
0.460209 -0.0281924 0.0186472
0.46102 0.034322 0.0195634
0.461832 0.0317017 0.0198199
0.462643 -0.012928 0.0190541
0.463454 0.011465 0.0198061
0.464266 -0.0148003 0.0192978
0.465077 0.0719094 0.0192118
0.465888 0.0263872 0.0193919
0.4667 0.0129124 0.0193836
0.467511 0.0521762 0.0190475
0.468323 -0.0124535 0.0198049
0.469134 -0.00940423 0.0194192
0.469945 0.00347924 0.0194965
0.470757 0.0178758 0.0193313
0.471568 0.0256911 0.0193024
0.472379 -0.00070208 0.0198154
0.473191 0.0294926 0.0188832
0.474002 0.0352434 0.0189185
0.474814 0.0060076 0.0196306
0.475625 0.000750283 0.0195018
0.476436 0.0161959 0.0192916
0.477248 0.0268328 0.0191492
0.478059 0.0300487 0.0192865
0.47887 -0.0107639 0.0194133
0.479682 0.0104076 0.0194408
0.480493 0.0137268 0.0203197
0.481305 0.037919 0.0199883
0.482116 0.0362695 0.0191629
0.482927 0.0440797 0.0199663
0.483739 0.0102751 0.0195188
0.48455 0.00919535 0.0191756
0.485361 0.0367643 0.0190435
0.486173 0.0823664 0.020013
0.486984 0.0242332 0.0191196
0.487796 0.0193978 0.0194638
0.488607 0.0210783 0.019296
0.489418 -0.00132393 0.019557
0.49023 0.00536509 0.0192823
0.491041 -0.000226067 0.0188702
0.491852 0.0177996 0.0198653
0.492664 0.0570068 0.0198935
0.493475 -0.00367039 0.0196147
0.494287 0.0253325 0.0198269
0.495098 0.00892508 0.0197158
0.495909 0.0153233 0.0198758
0.496721 0.0143213 0.0198303
0.497532 0.00938779 0.0197564
0.498343 0.00627124 0.0198903
0.499155 0.00186771 0.0194876
0.499966 0.0151068 0.0197844
0.500777 0.0210138 0.0194279
0.501589 0.0195605 0.0192193
0.5024 -0.00616361 0.0195019
0.503212 0.00750159 0.0199456
0.504023 0.0336343 0.0196496
0.504834 0.0109094 0.019902
0.505646 0.0217752 0.0192831
0.506457 0.012572 0.0201317
0.507268 0.0177609 0.0191052
0.50808 0.00984779 0.0196143
0.508891 0.0121019 0.0197168
0.509703 0.0211178 0.0194319
0.510514 0.0253611 0.0194576
0.511325 -0.00333392 0.0192855
0.512137 0.0194549 0.0199208
0.512948 0.0129008 0.0193856
0.513759 0.0387347 0.0201056
0.514571 -0.00671746 0.0185696
0.515382 0.0193497 0.0194235
0.516194 0.0139886 0.0195644
0.517005 0.0370994 0.0192548
0.517816 -0.0226568 0.0199036
0.518628 0.0285211 0.0199027
0.519439 0.0142666 0.019783
0.52025 0.0406166 0.0190043
0.521062 0.00057392 0.0194253
0.521873 -0.00431458 0.0192326
0.522685 -0.0029018 0.0198091
0.523496 -0.00670595 0.0188927
0.524307 0.00723145 0.0196523
0.525119 0.000527994 0.0190165
0.52593 0.0257416 0.0197964
0.526741 0.0386575 0.0190216
0.527553 -0.0216531 0.019418
0.528364 0.0123023 0.0192363
0.529176 0.00623279 0.019078
0.529987 0.0192297 0.0198865
0.530798 0.0393702 0.0196016
0.53161 0.0269 0.0192156
0.532421 -0.0214304 0.0197448
0.533232 0.0197459 0.0194124
0.534044 0.0227929 0.0197327
0.534855 0.0165999 0.0202263
0.535667 0.00294376 0.019335
0.536478 0.0219194 0.0195435
0.537289 -0.012805 0.0182685
0.538101 0.00809275 0.0178283
0.538912 0.0115781 0.0179641
0.539723 0.0215251 0.0196697
0.540535 -0.0105982 0.0194104
0.541346 0.00551179 0.0189072
0.542158 0.0101343 0.019315
0.542969 0.00719766 0.018916
0.54378 0.0240629 0.0189748
0.544592 -0.0220474 0.0183326
0.545403 0.0246854 0.0189503
0.546214 -0.0013354 0.0198133
0.547026 0.00621055 0.0194396
0.547837 0.00138189 0.0195418
0.548649 0.0639051 0.0192818
0.54946 0.0051396 0.0195668
0.550271 0.0249866 0.0195823
0.551083 0.0165941 0.0199135
0.551894 -0.00592923 0.0194599
0.552705 0.00809332 0.0190698
0.553517 -0.0314109 0.0198447
0.554328 -0.00860172 0.0199887
0.55514 0.0291814 0.0193358
0.555951 -0.0118715 0.0200101
0.556762 0.0243719 0.0200197
0.557574 0.00791949 0.019648
0.558385 0.0231148 0.019835
0.559196 0.00345265 0.0193631
0.560008 0.0152056 0.0192876
0.560819 -0.0122304 0.0193287
0.56163 0.0264844 0.0200585
0.562442 -0.0287903 0.0199556
0.563253 0.0153239 0.0193519
0.564065 -0.0149643 0.0201164
0.564876 0.0182248 0.0197468
0.565687 -0.0235029 0.0196159
0.566499 0.0202479 0.0200973
0.56731 -0.00232369 0.0195121
0.568121 0.0192322 0.0196404
0.568933 0.0168838 0.0195935
0.569744 0.0127758 0.0197928
0.570556 0.000308528 0.0200967
0.571367 -0.0118107 0.0201662
0.572178 0.0118026 0.0207443
0.57299 -0.0142071 0.0198327
0.573801 0.0164912 0.0196389
0.574612 0.0164395 0.0207677
0.575424 -0.00721767 0.0197333
0.576235 -0.00390684 0.0200824
0.577047 0.0177823 0.019404
0.577858 0.0236433 0.0201179
0.578669 -0.00803291 0.0203274
0.579481 0.0179199 0.0203299
0.580292 0.0126907 0.0202367
0.581103 -0.00673112 0.020307
0.581915 -0.0286666 0.0204517
0.582726 0.0264948 0.0195907
0.583538 0.0254919 0.0194555
0.584349 0.0107788 0.019868
0.58516 0.0197555 0.0200339
0.585972 -0.00975724 0.0203846
0.586783 0.0502385 0.0200894
0.587594 -0.00777856 0.0193668
0.588406 0.031392 0.019749
0.589217 0.0484475 0.019744
0.590029 0.0057535 0.0196705
0.59084 -0.00888888 0.0197089
0.591651 0.0223206 0.0204824
0.592463 0.0279585 0.0195744
0.593274 0.0208745 0.0205875
0.594085 0.0158702 0.0203399
0.594897 0.00474302 0.0199857
0.595708 -0.00673515 0.0199732
0.59652 0.0207666 0.0201354
0.597331 0.0246533 0.0195028
0.598142 -0.00791302 0.0197229
0.598954 0.0371442 0.0196775
0.599765 0.0340987 0.0202799
0.600576 0.0355614 0.020376
0.601388 0.0111742 0.0205942
0.602199 0.0105711 0.0200739
0.603011 -0.00148932 0.0199892
0.603822 -0.000717048 0.0199958
0.604633 0.0103093 0.0198814
0.605445 0.0150179 0.0202713
0.606256 0.00672786 0.0200043
0.607067 -0.027079 0.0198631
0.607879 0.0232539 0.0200561
0.60869 0.0157043 0.0202295
0.609502 0.0200234 0.0203071
0.610313 0.0103198 0.0201892
0.611124 0.026857 0.0202094
0.611936 -0.00604377 0.0200174
0.612747 0.0331557 0.0202682
0.613558 0.0105738 0.0202703
0.61437 0.0277147 0.0206855
