"H","S","fmax","fmin","A","B","Well","Temperature","Reading","Emission"
-56.2,-0.1364,2,0.2,200,800,"B11",21.5,4,0.283820913201731
-56.2,-0.1364,2,0.2,200,1000,"B12",21.5,4,0.272126963439673
-56.2,-0.1364,2,0.2,200,0,"B1",21.5,4,2.09844764316479
-56.2,-0.1364,2,0.2,200,1,"B2",21.5,4,2.03223389445224
-56.2,-0.1364,2,0.2,200,10,"B3",21.5,4,1.90565770691593
-56.2,-0.1364,2,0.2,200,50,"B4",21.5,4,1.56737868619719
-56.2,-0.1364,2,0.2,200,100,"B5",21.5,4,1.08327313217196
-56.2,-0.1364,2,0.2,200,150,"B6",21.5,4,0.683592470692969
-56.2,-0.1364,2,0.2,200,200,"B7",21.5,4,0.193497850618966
-56.2,-0.1364,2,0.2,200,250,"B8",21.5,4,0.155901811011218
-56.2,-0.1364,2,0.2,200,400,"B9",21.5,4,0.241066802886882
-56.2,-0.1364,2,0.2,200,600,"B10",21.5,4,0.159639124250929
-56.2,-0.1364,2,0.2,200,800,"B11",21.5,4,0.147264158689457
-56.2,-0.1364,2,0.2,200,1000,"B12",21.5,4,0.128258962720722
-56.2,-0.1364,2,0.2,200,0,"A1",22,5,2.07163503593559
-56.2,-0.1364,2,0.2,200,1,"A2",22,5,1.99196353876247
-56.2,-0.1364,2,0.2,200,10,"A3",22,5,1.92728898168778
-56.2,-0.1364,2,0.2,200,50,"A4",22,5,1.53278322241391
-56.2,-0.1364,2,0.2,200,100,"A5",22,5,1.10003704907172
-56.2,-0.1364,2,0.2,200,150,"A6",22,5,0.544469746160973
-56.2,-0.1364,2,0.2,200,200,"A7",22,5,0.210814683568027
-56.2,-0.1364,2,0.2,200,250,"A8",22,5,0.301229330409122
-56.2,-0.1364,2,0.2,200,400,"A9",22,5,0.143144450505597
-56.2,-0.1364,2,0.2,200,600,"A10",22,5,0.163938444754671
-56.2,-0.1364,2,0.2,200,800,"A11",22,5,0.170683969370889
-56.2,-0.1364,2,0.2,200,1000,"A12",22,5,0.147635200953476
-56.2,-0.1364,2,0.2,200,0,"B1",22,5,1.92159473146825
-56.2,-0.1364,2,0.2,200,1,"B2",22,5,1.96100411599491
-56.2,-0.1364,2,0.2,200,10,"B3",22,5,1.94309851383214
-56.2,-0.1364,2,0.2,200,50,"B4",22,5,1.59597219518146
-56.2,-0.1364,2,0.2,200,100,"B5",22,5,1.16455353784346
-56.2,-0.1364,2,0.2,200,150,"B6",22,5,0.579282353774927
-56.2,-0.1364,2,0.2,200,200,"B7",22,5,0.189340040569983
-56.2,-0.1364,2,0.2,200,250,"B8",22,5,0.172236565067546
-56.2,-0.1364,2,0.2,200,400,"B9",22,5,0.20545372699373
-56.2,-0.1364,2,0.2,200,600,"B10",22,5,0.119977758523795
-56.2,-0.1364,2,0.2,200,800,"B11",22,5,0.159109259829255
-56.2,-0.1364,2,0.2,200,1000,"B12",22,5,0.166795256421577
-56.2,-0.1364,2,0.2,200,0,"B1",22,5,2.06197772090779
-56.2,-0.1364,2,0.2,200,1,"B2",22,5,2.01030797849534
-56.2,-0.1364,2,0.2,200,10,"B3",22,5,1.76544925406335
-56.2,-0.1364,2,0.2,200,50,"B4",22,5,1.57454261221125
-56.2,-0.1364,2,0.2,200,100,"B5",22,5,1.13435313568099
-56.2,-0.1364,2,0.2,200,150,"B6",22,5,0.680202152777883
-56.2,-0.1364,2,0.2,200,200,"B7",22,5,0.174098073672366
-56.2,-0.1364,2,0.2,200,250,"B8",22,5,0.282900762468407
-56.2,-0.1364,2,0.2,200,400,"B9",22,5,0.0551925514488403
-56.2,-0.1364,2,0.2,200,600,"B10",22,5,0.310161673391329
-56.2,-0.1364,2,0.2,200,800,"B11",22,5,0.178226474687205
-56.2,-0.1364,2,0.2,200,1000,"B12",22,5,0.157826279574165
-56.2,-0.1364,2,0.2,200,0,"A1",22.5,6,2.11959091641998
-56.2,-0.1364,2,0.2,200,1,"A2",22.5,6,1.96794462015308
-56.2,-0.1364,2,0.2,200,10,"A3",22.5,6,1.90412507996304
-56.2,-0.1364,2,0.2,200,50,"A4",22.5,6,1.4484076036034
-56.2,-0.1364,2,0.2,200,100,"A5",22.5,6,1.07633055855218
-56.2,-0.1364,2,0.2,200,150,"A6",22.5,6,0.680911204595004
-56.2,-0.1364,2,0.2,200,200,"A7",22.5,6,0.234557919079625
-56.2,-0.1364,2,0.2,200,250,"A8",22.5,6,0.139866667772391
-56.2,-0.1364,2,0.2,200,400,"A9",22.5,6,0.160687181696208
-56.2,-0.1364,2,0.2,200,600,"A10",22.5,6,0.224147129091491
-56.2,-0.1364,2,0.2,200,800,"A11",22.5,6,0.158624244556104
-56.2,-0.1364,2,0.2,200,1000,"A12",22.5,6,0.224380017878417
-56.2,-0.1364,2,0.2,200,0,"B1",22.5,6,2.00330704501398
-56.2,-0.1364,2,0.2,200,1,"B2",22.5,6,1.94473350473346
-56.2,-0.1364,2,0.2,200,10,"B3",22.5,6,1.8602908032754
-56.2,-0.1364,2,0.2,200,50,"B4",22.5,6,1.48960738412148
-56.2,-0.1364,2,0.2,200,100,"B5",22.5,6,1.19578180347636
-56.2,-0.1364,2,0.2,200,150,"B6",22.5,6,0.728606449551104
-56.2,-0.1364,2,0.2,200,200,"B7",22.5,6,0.194312520488107
-56.2,-0.1364,2,0.2,200,250,"B8",22.5,6,0.180087066073076
-56.2,-0.1364,2,0.2,200,400,"B9",22.5,6,0.216680171925611
-56.2,-0.1364,2,0.2,200,600,"B10",22.5,6,0.21788761474211
-56.2,-0.1364,2,0.2,200,800,"B11",22.5,6,0.155206765611675
-56.2,-0.1364,2,0.2,200,1000,"B12",22.5,6,0.192044499775336
-56.2,-0.1364,2,0.2,200,0,"B1",22.5,6,2.01243981382127
-56.2,-0.1364,2,0.2,200,1,"B2",22.5,6,1.98041898687154
-56.2,-0.1364,2,0.2,200,10,"B3",22.5,6,1.88114627192965
-56.2,-0.1364,2,0.2,200,50,"B4",22.5,6,1.51981087305518
-56.2,-0.1364,2,0.2,200,100,"B5",22.5,6,1.08027195424307
-56.2,-0.1364,2,0.2,200,150,"B6",22.5,6,0.700846411997978
-56.2,-0.1364,2,0.2,200,200,"B7",22.5,6,0.251499905323435
-56.2,-0.1364,2,0.2,200,250,"B8",22.5,6,0.267292275546176
-56.2,-0.1364,2,0.2,200,400,"B9",22.5,6,0.179905712315403
-56.2,-0.1364,2,0.2,200,600,"B10",22.5,6,0.179767077273869
-56.2,-0.1364,2,0.2,200,800,"B11",22.5,6,0.309685487379459
-56.2,-0.1364,2,0.2,200,1000,"B12",22.5,6,0.148512651326862
-56.2,-0.1364,2,0.2,200,0,"A1",23,7,1.96445624905471
-56.2,-0.1364,2,0.2,200,1,"A2",23,7,2.01673632400096
-56.2,-0.1364,2,0.2,200,10,"A3",23,7,1.96518827590306
-56.2,-0.1364,2,0.2,200,50,"A4",23,7,1.4775552737038
-56.2,-0.1364,2,0.2,200,100,"A5",23,7,1.0860082392536
-56.2,-0.1364,2,0.2,200,150,"A6",23,7,0.598301214962718
-56.2,-0.1364,2,0.2,200,200,"A7",23,7,0.193130024740893
-56.2,-0.1364,2,0.2,200,250,"A8",23,7,0.17392198001445
-56.2,-0.1364,2,0.2,200,400,"A9",23,7,0.143290611075946
-56.2,-0.1364,2,0.2,200,600,"A10",23,7,0.251125560474264
-56.2,-0.1364,2,0.2,200,800,"A11",23,7,0.12184190023175
-56.2,-0.1364,2,0.2,200,1000,"A12",23,7,0.346108801736599
-56.2,-0.1364,2,0.2,200,0,"B1",23,7,2.06814370046867
-56.2,-0.1364,2,0.2,200,1,"B2",23,7,1.94321982279562
-56.2,-0.1364,2,0.2,200,10,"B3",23,7,1.90113075100707
-56.2,-0.1364,2,0.2,200,50,"B4",23,7,1.49473443780681
-56.2,-0.1364,2,0.2,200,100,"B5",23,7,1.02457092854723
-56.2,-0.1364,2,0.2,200,150,"B6",23,7,0.647137638813531
-56.2,-0.1364,2,0.2,200,200,"B7",23,7,0.202050918567526
-56.2,-0.1364,2,0.2,200,250,"B8",23,7,0.167182664655073
-56.2,-0.1364,2,0.2,200,400,"B9",23,7,0.150834310391944
-56.2,-0.1364,2,0.2,200,600,"B10",23,7,0.218984617709881
-56.2,-0.1364,2,0.2,200,800,"B11",23,7,0.124340721828319
-56.2,-0.1364,2,0.2,200,1000,"B12",23,7,0.337390260508887
-56.2,-0.1364,2,0.2,200,0,"B1",23,7,1.98818183634404
-56.2,-0.1364,2,0.2,200,1,"B2",23,7,2.07062587959829
-56.2,-0.1364,2,0.2,200,10,"B3",23,7,1.96224521373523
-56.2,-0.1364,2,0.2,200,50,"B4",23,7,1.67712936113633
-56.2,-0.1364,2,0.2,200,100,"B5",23,7,1.04285855729351
-56.2,-0.1364,2,0.2,200,150,"B6",23,7,0.689938556124131
-56.2,-0.1364,2,0.2,200,200,"B7",23,7,0.256388649697968
-56.2,-0.1364,2,0.2,200,250,"B8",23,7,0.19734601712709
-56.2,-0.1364,2,0.2,200,400,"B9",23,7,0.118165777608266
-56.2,-0.1364,2,0.2,200,600,"B10",23,7,0.222446199939868
-56.2,-0.1364,2,0.2,200,800,"B11",23,7,0.177294457592163
-56.2,-0.1364,2,0.2,200,1000,"B12",23,7,0.20291650610335
-56.2,-0.1364,2,0.2,200,0,"A1",23.5,8,2.0930363171638
-56.2,-0.1364,2,0.2,200,1,"A2",23.5,8,2.00896506651914
-56.2,-0.1364,2,0.2,200,10,"A3",23.5,8,1.95072007054843
-56.2,-0.1364,2,0.2,200,50,"A4",23.5,8,1.57304091399417
-56.2,-0.1364,2,0.2,200,100,"A5",23.5,8,1.12076102265117
-56.2,-0.1364,2,0.2,200,150,"A6",23.5,8,0.685876690417518
-56.2,-0.1364,2,0.2,200,200,"A7",23.5,8,0.183164900548599
-56.2,-0.1364,2,0.2,200,250,"A8",23.5,8,0.116751665081749
