"H","S","fmax","fmin","A","B","Well","Temperature","Reading","Emission"
-56.2,-0.1364,2,0.2,230,1,"B2",21.5,4,1.88810217422292
-56.2,-0.1364,2,0.2,230,10,"B3",21.5,4,1.83537920908453
-56.2,-0.1364,2,0.2,230,50,"B4",21.5,4,1.59462932019886
-56.2,-0.1364,2,0.2,230,100,"B5",21.5,4,1.12015189466522
-56.2,-0.1364,2,0.2,230,150,"B6",21.5,4,0.860943971925277
-56.2,-0.1364,2,0.2,230,200,"B7",21.5,4,0.499207041901847
-56.2,-0.1364,2,0.2,230,250,"B8",21.5,4,0.15869501671615
-56.2,-0.1364,2,0.2,230,400,"B9",21.5,4,0.255590450985393
-56.2,-0.1364,2,0.2,230,600,"B10",21.5,4,0.306691959341421
-56.2,-0.1364,2,0.2,230,800,"B11",21.5,4,0.196847207070257
-56.2,-0.1364,2,0.2,230,1000,"B12",21.5,4,0.122275843851895
-56.2,-0.1364,2,0.2,230,0,"B1",21.5,4,1.94982357698642
-56.2,-0.1364,2,0.2,230,1,"B2",21.5,4,1.98657215315321
-56.2,-0.1364,2,0.2,230,10,"B3",21.5,4,1.84853290604898
-56.2,-0.1364,2,0.2,230,50,"B4",21.5,4,1.64176312216692
-56.2,-0.1364,2,0.2,230,100,"B5",21.5,4,1.22025427809712
-56.2,-0.1364,2,0.2,230,150,"B6",21.5,4,0.86148818747497
-56.2,-0.1364,2,0.2,230,200,"B7",21.5,4,0.439859235672438
-56.2,-0.1364,2,0.2,230,250,"B8",21.5,4,0.220880029747833
-56.2,-0.1364,2,0.2,230,400,"B9",21.5,4,0.134635335690368
-56.2,-0.1364,2,0.2,230,600,"B10",21.5,4,0.204083214647436
-56.2,-0.1364,2,0.2,230,800,"B11",21.5,4,0.18216025671614
-56.2,-0.1364,2,0.2,230,1000,"B12",21.5,4,0.236425346147852
-56.2,-0.1364,2,0.2,230,0,"A1",22,5,1.98210872501739
-56.2,-0.1364,2,0.2,230,1,"A2",22,5,1.93740981442596
-56.2,-0.1364,2,0.2,230,10,"A3",22,5,1.93280669754192
-56.2,-0.1364,2,0.2,230,50,"A4",22,5,1.61326743415724
-56.2,-0.1364,2,0.2,230,100,"A5",22,5,1.25376683296414
-56.2,-0.1364,2,0.2,230,150,"A6",22,5,0.771297534779463
-56.2,-0.1364,2,0.2,230,200,"A7",22,5,0.390516129473243
-56.2,-0.1364,2,0.2,230,250,"A8",22,5,0.1971323350539
-56.2,-0.1364,2,0.2,230,400,"A9",22,5,0.137783317035696
-56.2,-0.1364,2,0.2,230,600,"A10",22,5,0.195183555933615
-56.2,-0.1364,2,0.2,230,800,"A11",22,5,0.244990071132147
-56.2,-0.1364,2,0.2,230,1000,"A12",22,5,0.165122608507373
-56.2,-0.1364,2,0.2,230,0,"B1",22,5,2.00024687527553
-56.2,-0.1364,2,0.2,230,1,"B2",22,5,1.99024922178283
-56.2,-0.1364,2,0.2,230,10,"B3",22,5,1.79768096266514
-56.2,-0.1364,2,0.2,230,50,"B4",22,5,1.60832267020311
-56.2,-0.1364,2,0.2,230,100,"B5",22,5,1.20068620359073
-56.2,-0.1364,2,0.2,230,150,"B6",22,5,0.830629511617281
-56.2,-0.1364,2,0.2,230,200,"B7",22,5,0.419392010821043
-56.2,-0.1364,2,0.2,230,250,"B8",22,5,0.233759248807959
-56.2,-0.1364,2,0.2,230,400,"B9",22,5,0.238127226670276
