"H","S","fmax","fmin","A","B","Well","Temperature","Reading","Emission"
-56.2,-0.1364,2,0.2,200,150,"B6",21.5,4,0.618579388189681
-56.2,-0.1364,2,0.2,200,200,"B7",21.5,4,0.171766223831179
-56.2,-0.1364,2,0.2,200,250,"B8",21.5,4,0.190197043541194
-56.2,-0.1364,2,0.2,200,400,"B9",21.5,4,0.249960525701124
-56.2,-0.1364,2,0.2,200,600,"B10",21.5,4,0.20623610578506
-56.2,-0.1364,2,0.2,200,800,"B11",21.5,4,0.190756807956755
-56.2,-0.1364,2,0.2,200,1000,"B12",21.5,4,0.140772106265404
-56.2,-0.1364,2,0.2,200,0,"A1",22,5,2.1214629850899
-56.2,-0.1364,2,0.2,200,1,"A2",22,5,1.95261026190624
-56.2,-0.1364,2,0.2,200,10,"A3",22,5,1.88503238934172
-56.2,-0.1364,2,0.2,200,50,"A4",22,5,1.47668894058589
-56.2,-0.1364,2,0.2,200,100,"A5",22,5,1.18271752513051
-56.2,-0.1364,2,0.2,200,150,"A6",22,5,0.636203415634255
-56.2,-0.1364,2,0.2,200,200,"A7",22,5,0.229609927466481
-56.2,-0.1364,2,0.2,200,250,"A8",22,5,0.228314777967047
-56.2,-0.1364,2,0.2,200,400,"A9",22,5,0.27564347066136
-56.2,-0.1364,2,0.2,200,600,"A10",22,5,0.231971000892595
-56.2,-0.1364,2,0.2,200,800,"A11",22,5,0.196789704320222
-56.2,-0.1364,2,0.2,200,1000,"A12",22,5,0.16045665370439
-56.2,-0.1364,2,0.2,200,0,"B1",22,5,2.04783540359593
-56.2,-0.1364,2,0.2,200,1,"B2",22,5,2.08417430956698
-56.2,-0.1364,2,0.2,200,10,"B3",22,5,1.88203366658144
-56.2,-0.1364,2,0.2,200,50,"B4",22,5,1.51962305352904
-56.2,-0.1364,2,0.2,200,100,"B5",22,5,1.05457825312742
-56.2,-0.1364,2,0.2,200,150,"B6",22,5,0.693593958633407
-56.2,-0.1364,2,0.2,200,200,"B7",22,5,0.216184245328934
-56.2,-0.1364,2,0.2,200,250,"B8",22,5,0.279104226904809
-56.2,-0.1364,2,0.2,200,400,"B9",22,5,0.19809777550317
-56.2,-0.1364,2,0.2,200,600,"B10",22,5,0.185292512698519
-56.2,-0.1364,2,0.2,200,800,"B11",22,5,0.231908851881655
-56.2,-0.1364,2,0.2,200,1000,"B12",22,5,0.176956921422169
-56.2,-0.1364,2,0.2,200,0,"B1",22,5,1.99726984832404
