#
# Fitted experimental I(q) and calculated I(q) in multi-column format
#
# Columns 1 though 5 are:
#   1) Q (from experimental data)
#   2) Fitted experimental I(q)
#   3) Experimental error after fit
#   4) Calculated/model I(q) (no fit)
#   5) Error of calculated I(q)
#
   1.09696      1.89517e+07 3.64738e+06      1.26187e+07    80701.6
   1.10507      1.26272e+07 3.55152e+06      1.24231e+07    79547.5
   1.11318      1.4284e+07 3.50701e+06      1.22387e+07    78559.4
    1.1213      1.55408e+07 3.41836e+06      1.20542e+07    77570.2
   1.12941      1.51441e+07 3.48457e+06      1.18699e+07    76582.1
   1.13752      1.09234e+07  3.555e+06      1.16855e+07      75594
   1.14564      1.55504e+06 3.46014e+06      1.1501e+07    74604.7
   1.15375      1.52508e+07 3.39464e+06      1.13167e+07    73616.7
   1.16187      1.67402e+07 3.28665e+06      1.11321e+07    72627.4
   1.16998      8.87361e+06 3.35759e+06      1.09478e+07    71639.3
   1.17809      1.15405e+07 3.35585e+06      1.07635e+07    70651.3
   1.18621      1.37751e+07 3.26034e+06      1.05789e+07      69662
   1.19432      1.2611e+07 3.25777e+06      1.03946e+07    68673.9
   1.20243      9.1047e+06 3.40936e+06      1.02181e+07    67806.2
   1.21055      1.37443e+07 3.30213e+06      1.00598e+07      67219
   1.21866      7.83892e+06 3.24238e+06      9.90161e+06    66632.5
   1.22678      1.05375e+07 3.2648e+06      9.74326e+06    66045.3
   1.23489      1.77043e+07 3.41512e+06      9.58511e+06    65458.9
     1.243      1.06024e+07 3.26494e+06      9.42696e+06    64872.4
   1.25112      1.16644e+07 3.39628e+06      9.26861e+06    64285.2
   1.25923      8.67941e+06 3.32061e+06      9.11046e+06    63698.7
   1.26734      1.15375e+07 3.2832e+06      8.9523e+06    63112.3
   1.27546      7.36532e+06 3.18958e+06      8.79395e+06    62525.1
   1.28357      1.23519e+07 3.28702e+06      8.6358e+06    61938.6
   1.29169      1.19457e+07 3.15625e+06      8.47745e+06    61351.4
