#
# This scattering intensity file was created by WAXSiS
#
# The calculated I(q) was interpolated to the experimental q-values
#
# q[A-1]        I(q)              sigma(q)
3.50673 169186 2851.39
3.51485 168445 2863.65
3.52296 167705 2875.9
3.53108 166965 2888.15
3.53919 166225 2900.4
3.5473 165485 2912.64
3.55542 164744 2924.9
3.56353 164004 2937.15
3.57164 163264 2949.39
3.57976 162523 2961.65
3.58787 161784 2973.9
3.59599 161043 2986.16
3.6041 160407 2998.45
3.61221 159874 3010.79
3.62033 159339 3023.15
3.62844 158806 3035.49
3.63655 158272 3047.83
3.64467 157738 3060.18
3.65278 157205 3072.53
3.6609 156670 3084.88
3.66901 156137 3097.22
3.67712 155603 3109.56
3.68524 155069 3121.92
3.69335 154536 3134.26
3.70146 154054 3145.45
3.70958 153811 3151.39
3.71769 153568 3157.32
3.72581 153325 3163.26
3.73392 153082 3169.2
3.74203 152839 3175.13
3.75015 152596 3181.07
3.75826 152353 3187
3.76637 152110 3192.94
3.77449 151866 3198.88
3.7826 151623 3204.81
3.79072 151380 3210.75
3.79883 151137 3216.68
3.80694 151198 3217.66
3.81506 151310 3217.8
3.82317 151422 3217.94
3.83128 151534 3218.08
3.8394 151646 3218.22
3.84751 151758 3218.36
3.85562 151870 3218.5
3.86374 151982 3218.64
3.87185 152094 3218.78
3.87997 152206 3218.92
3.88808 152318 3219.06
3.89619 152430 3219.2
3.90431 152716 3218.9
3.91242 153153 3218.21
3.92053 153591 3217.52
3.92865 154029 3216.83
3.93676 154467 3216.14
3.94488 154905 3215.45
3.95299 155342 3214.76
3.9611 155780 3214.06
3.96922 156218 3213.37
3.97733 156656 3212.68
3.98544 157093 3211.99
3.99356 157531 3211.3
4.00167 158031 3221.1
4.00979 158769 3271.44
4.0179 159506 3321.72
4.02601 160243 3372
4.03413 160981 3422.34
4.04224 161718 3472.61
4.05035 162455 3522.89
4.05847 163193 3573.23
4.06658 163930 3623.51
4.0747 164668 3673.85
4.08281 165405 3724.12
4.09092 166142 3774.4
4.09904 166880 3824.74
4.10715 167570 3850.97
4.11526 168254 3873.98
4.12338 168938 3897.02
4.13149 169622 3920.03
4.13961 170307 3943.06
4.14772 170991 3966.07
4.15583 171675 3989.08
4.16395 172359 4012.12
4.17206 173043 4035.12
4.18017 173727 4058.13
4.18829 174412 4081.17
4.1964 175095 4104.18
4.20452 175673 4097.98
4.21263 176165 4068.53
4.22074 176657 4039.08
4.22886 177150 4009.59
4.23697 177642 3980.14
4.24508 178134 3950.7
4.2532 178627 3921.21
4.26131 179119 3891.76
4.26943 179611 3862.28
4.27754 180103 3832.83
4.28565 180595 3803.38
4.29377 181088 3773.89
4.30188 181489 3736.76
4.30999 181589 3674.18
4.31811 181689 3611.51
4.32622 181789 3548.93
4.33434 181889 3486.26
4.34245 181989 3423.68
4.35056 182089 3361.09
4.35868 182189 3298.43
4.36679 182289 3235.84
4.3749 182389 3173.26
4.38302 182489 3110.6
4.39113 182589 3048.01
4.39924 182689 2985.42
4.40736 182534 2932.7
4.41547 182354 2881.07
4.42359 182173 2829.38
4.4317 181993 2777.75
4.43981 181813 2726.11
4.44793 181632 2674.42
4.45604 181452 2622.79
4.46415 181271 2571.16
4.47227 181091 2519.46
4.48038 180910 2467.83
4.4885 180730 2416.13
4.49661 180549 2364.5
4.50472 180316 2336.75
4.51284 180046 2326.14
4.52095 179775 2315.54
4.52906 179504 2304.94
4.53718 179233 2294.33
4.54529 178963 2283.73
4.55341 178692 2273.11
4.56152 178421 2262.51
4.56963 178150 2251.91
4.57775 177879 2241.3
4.58586 177609 2230.7
4.59397 177338 2220.1
4.60209 177091 2211.34
4.6102 176912 2207.94
4.61832 176733 2204.53
4.62643 176555 2201.12
4.63454 176376 2197.72
4.64266 176197 2194.31
4.65077 176019 2190.91
4.65888 175840 2187.5
4.667 175661 2184.09
4.67511 175482 2180.69
4.68323 175303 2177.28
4.69134 175125 2173.88
4.69945 174946 2170.47
4.70757 175041 2172.76
4.71568 175155 2175.46
4.72379 175269 2178.16
4.73191 175383 2180.87
4.74002 175497 2183.57
4.74814 175612 2186.27
4.75625 175726 2188.97
4.76436 175840 2191.67
4.77248 175955 2194.38
4.78059 176069 2197.08
4.7887 176183 2199.78
4.79682 176297 2202.48
4.80493 176654 2197.67
4.81305 177168 2188.01
4.82116 177682 2178.36
4.82927 178195 2168.71
4.83739 178710 2159.05
4.8455 179223 2149.4
4.85361 179737 2139.74
4.86173 180251 2130.08
4.86984 180764 2120.43
4.87796 181278 2110.77
4.88607 181792 2101.12
4.89418 182305 2091.47
4.9023 182843 2086.53
4.91041 183441 2093.53
4.91852 184038 2100.53
4.92664 184637 2107.54
4.93475 185234 2114.54
4.94287 185832 2121.55
4.95098 186430 2128.55
4.95909 187027 2135.55
4.96721 187625 2142.56
4.97532 188223 2149.56
4.98343 188820 2156.57
4.99155 189418 2163.58
4.99966 190016 2170.58
5.00777 190536 2184.24
5.01589 191053 2198.22
5.024 191570 2212.18
5.03212 192087 2226.15
5.04023 192604 2240.11
5.04834 193120 2254.07
5.05646 193638 2268.05
5.06457 194154 2282.01
5.07268 194671 2295.97
5.0808 195188 2309.94
5.08891 195705 2323.9
5.09703 196222 2337.88
5.10514 196443 2349.63
5.11325 196495 2360.11
5.12137 196546 2370.6
5.12948 196597 2381.08
5.13759 196649 2391.56
5.14571 196700 2402.05
5.15382 196751 2412.53
5.16194 196802 2423.02
5.17005 196854 2433.5
5.17816 196905 2443.98
5.18628 196956 2454.47
5.19439 197008 2464.95
5.2025 196911 2471.25
5.21062 196481 2468.17
5.21873 196051 2465.09
5.22685 195621 2462.01
5.23496 195192 2458.94
5.24307 194762 2455.86
5.25119 194332 2452.78
5.2593 193903 2449.7
5.26741 193474 2446.62
5.27553 193044 2443.54
5.28364 192614 2440.47
5.29176 192184 2437.39
5.29987 191755 2434.31
5.30798 190922 2420.73
5.3161 190082 2406.97
5.32421 189242 2393.22
5.33232 188403 2379.48
5.34044 187562 2365.71
5.34855 186723 2351.97
5.35667 185883 2338.2
5.36478 185043 2324.46
5.37289 184204 2310.71
5.38101 183363 2296.95
5.38912 182524 2283.2
5.39723 181685 2269.46
5.40535 180688 2240.61
5.41346 179611 2204
5.42158 178532 2167.35
5.42969 177455 2130.74
5.4378 176379 2094.13
5.44592 175300 2057.48
5.45403 174223 2020.87
5.46214 173146 1984.27
5.47026 172068 1947.61
5.47837 170991 1911.01
5.48649 169913 1874.35
5.4946 168836 1837.75
5.50271 167773 1807.56
5.51083 166735 1790.15
5.51894 165699 1772.76
5.52705 164662 1755.37
5.53517 163625 1737.96
5.54328 162588 1720.57
5.5514 161551 1703.16
5.55951 160514 1685.77
5.56762 159478 1668.38
5.57574 158440 1650.97
5.58385 157404 1633.58
5.59196 156367 1616.19
5.60008 155332 1598.89
5.60819 154521 1593.22
5.6163 153710 1587.54
5.62442 152898 1581.86
5.63253 152087 1576.19
5.64065 151275 1570.5
5.64876 150464 1564.83
5.65687 149654 1559.15
5.66499 148842 1553.47
5.6731 148031 1547.79
5.68121 147220 1542.12
5.68933 146408 1536.44
5.69744 145597 1530.76
5.70556 144956 1525.15
5.71367 144394 1519.58
5.72178 143833 1514.02
5.7299 143270 1508.44
5.73801 142708 1502.87
5.74612 142147 1497.3
5.75424 141584 1491.73
5.76235 141023 1486.16
5.77047 140460 1480.59
5.77858 139899 1475.02
5.78669 139337 1469.45
5.79481 138774 1463.87
5.80292 138301 1458.1
5.81103 137985 1451.95
5.81915 137668 1445.79
5.82726 137352 1439.64
5.83538 137036 1433.48
5.84349 136719 1427.33
5.8516 136403 1421.18
5.85972 136087 1415.02
5.86783 135770 1408.87
5.87594 135454 1402.72
5.88406 135138 1396.57
5.89217 134821 1390.42
5.90029 134507 1384.46
5.9084 134258 1384.01
5.91651 134010 1383.56
5.92463 133761 1383.1
5.93274 133512 1382.65
5.94085 133263 1382.2
5.94897 133014 1381.74
5.95708 132765 1381.29
5.9652 132516 1380.84
5.97331 132268 1380.38
5.98142 132019 1379.93
5.98954 131770 1379.47
5.99765 131521 1379.02
6.00576 131222 1376.04
6.01388 130901 1372.02
6.02199 130581 1368
6.03011 130261 1363.98
6.03822 129941 1359.96
6.04633 129621 1355.95
6.05445 129301 1351.93
6.06256 128981 1347.91
6.07067 128661 1343.89
6.07879 128341 1339.87
6.0869 128021 1335.86
6.09502 127700 1331.84
6.10313 127300 1331.83
6.11124 126773 1338.21
6.11936 126245 1344.59
6.12747 125717 1350.96
6.13558 125190 1357.34
6.1437 124662 1363.72
