Sample description: RNA2
Sample: RNA2 c= 0.1 Code: Nov22
Subtracted from raw files: "C:\Data\Guanine-aptamer-Nov22\NTPCM-RNA-rep1_0005.img" "C:\Data\Guanine-aptamer-Nov22\NTPCM-buf-rep1_0002.img"
Processed by SAXSLab Tue Nov 23 16:11:22 2021
BeamCenter_X: 754.063 BeamCenter_Y: 199.402
Exposure time (sec): 3600
Pin diode (mean): 5.8665e-08
==============================================
0.218344 -0.0153535 0.0241153
0.219155 0.032854 0.0250746
0.219966 0.0309201 0.0255116
0.220777 0.0341019 0.0252179
0.221588 -0.0333243 0.0235473
0.222399 0.00800899 0.0250364
0.22321 0.0147436 0.0244606
0.224022 0.0210421 0.0250541
0.224833 -0.00604239 0.0250816
0.225644 -0.0325969 0.0252438
0.226455 -0.0178073 0.0259408
0.227266 -0.00993131 0.0245835
0.228077 0.0371343 0.0247741
0.228888 -0.00577891 0.0247199
0.229699 0.00983677 0.0247649
0.23051 -0.0148087 0.0249385
0.231321 0.0075159 0.0249316
0.232132 -0.00817203 0.025583
0.232944 -0.000808088 0.0246871
0.233755 0.015882 0.0251747
0.234566 0.00980505 0.0239738
0.235377 -0.0273574 0.0245415
0.236188 -0.0108627 0.0249737
0.236999 -0.0154707 0.0241566
0.23781 0.00868681 0.0242884
0.238621 0.00644421 0.0242139
0.239432 0.0227085 0.0251182
0.240243 -0.00543187 0.025331
0.241054 -0.00369296 0.025571
0.241866 -0.0123439 0.0236564
0.242677 0.0140721 0.0249474
0.243488 0.0171254 0.0246609
0.244299 0.00413221 0.0249203
0.24511 -0.00296099 0.0246202
0.245921 0.00870645 0.0240056
0.246732 -0.00869135 0.0248588
0.247543 0.0171196 0.025745
0.248354 0.0208489 0.0247555
0.249165 -0.0318137 0.0239217
0.249976 -0.0393609 0.0252496
0.250787 0.0165261 0.0246099
0.251599 0.0199836 0.0251567
0.25241 0.0246388 0.0245481
0.253221 -0.00330483 0.0248641
0.254032 0.0169093 0.023327
0.254843 0.0124113 0.0248033
0.255654 -0.0203836 0.0241745
0.256465 -0.0511192 0.0247416
0.257276 -0.0383272 0.0249231
0.258087 0.0161842 0.0242456
0.258898 0.00486073 0.0242711
0.259709 -0.0475725 0.0235797
0.260521 0.0413332 0.024941
0.261332 0.023512 0.0247888
0.262143 0.0144352 0.0239487
0.262954 0.0116237 0.0242997
0.263765 0.00073301 0.0239656
0.264576 -0.0281078 0.0235563
0.265387 -0.0316056 0.0241153
0.266198 0.0038318 0.0252045
0.267009 0.0149998 0.0241896
0.26782 -0.0177411 0.0238499
0.268631 0.0127738 0.0242654
0.269443 0.0385648 0.0251354
0.270254 -0.017513 0.0251307
0.271065 0.0215362 0.023725
0.271876 0.0139289 0.024709
0.272687 0.0350448 0.0243825
0.273498 -0.0278097 0.0237725
0.274309 0.0134875 0.02417
0.27512 0.0119843 0.0241848
0.275931 -0.0138789 0.0232184
0.276742 -0.0243959 0.024437
0.277553 0.0411616 0.0243917
0.278364 0.0238599 0.0236292
0.279176 0.00614715 0.0247416
0.279987 -0.0389169 0.0245022
0.280798 -0.0258117 0.0231321
0.281609 -0.0116056 0.0244008
0.28242 0.0318179 0.0239623
0.283231 0.010075 0.0244653
0.284042 -0.0245549 0.0251107
0.284853 0.00530497 0.0238869
0.285664 -0.0242585 0.0246253
0.286475 0.00864017 0.0234652
0.287286 0.00454555 0.024149
0.288098 -0.0356438 0.0237632
0.288909 0.0125255 0.0245184
0.28972 -0.0245308 0.0240707
0.290531 0.0216722 0.0239046
0.291342 0.0139516 0.024321
0.292153 -0.0137603 0.0248089
0.292964 -0.0367541 0.0242812
0.293775 0.0182222 0.0240148
0.294586 0.0203052 0.0236589
0.295397 -0.0479585 0.0252559
0.296208 0.0243341 0.0245569
0.29702 -0.0210133 0.0240942
0.297831 0.0129713 0.0243898
0.298642 0.0154722 0.0241706
0.299453 -0.00606852 0.0232515
0.300264 -0.0260643 0.0230142
0.301075 -0.00466484 0.0223794
0.301886 0.0136987 0.0219101
0.302697 -0.0127019 0.0237579
0.303508 0.00403687 0.0239445
0.304319 -0.0511194 0.0230066
0.30513 0.0200772 0.0226371
0.305941 0.00386587 0.022674
0.306753 0.020102 0.0231355
0.307564 -0.0234004 0.0236114
