Sample description: rnabuf2
Sample: rnabuf2 c= 1 Code: feb7
Subtracted from raw files: "C:\Data\phil-jacob-wmcmecoli80\rna-ecoli801_0004.img" "C:\Data\phil-jacob-wmcmecoli80\ecoli801_0002.img"
Processed by SAXSLab Tue Feb 08 09:05:15 2022
BeamCenter_X: 754.19 BeamCenter_Y: 199.712
Exposure time (sec): 3600
Pin diode (mean): 1.0799e-08
==============================================
0.199758 0.0909254 0.0279241
0.200569 0.0820532 0.027214
0.201381 0.0589608 0.0274054
0.202192 0.0537203 0.0283563
0.203004 0.0390195 0.0276349
0.203815 -0.0200283 0.0272496
0.204626 0.00710163 0.0269489
0.205438 0.0668129 0.0275721
0.206249 0.0238912 0.0268111
0.20706 -0.0193804 0.0283889
0.207872 0.0488275 0.0285429
0.208683 0.0209605 0.0274814
0.209494 0.0372248 0.0277227
0.210306 0.0213191 0.027556
0.211117 0.0355419 0.0277751
0.211929 -0.0015377 0.0272994
0.21274 0.0508483 0.0282739
0.213551 0.0269951 0.0279226
0.214363 7.39604e-05 0.0281536
0.215174 0.00866264 0.0277481
0.215985 0.00463582 0.0263738
0.216797 -0.00259629 0.0274719
0.217608 0.0617393 0.0277105
0.21842 0.00783284 0.0269114
0.219231 0.0409789 0.0276044
0.220042 -0.0217354 0.0278275
0.220854 -0.00926481 0.0273325
0.221665 0.0346472 0.0272795
0.222476 -0.0268474 0.026577
0.223288 0.0247345 0.0266682
0.224099 0.0312502 0.0276776
0.224911 0.0437551 0.027402
0.225722 -0.0282141 0.026869
0.226533 0.0589292 0.0272934
0.227345 0.0598819 0.0265946
0.228156 0.0405839 0.0268328
0.228967 -0.00293081 0.0268556
0.229779 0.028445 0.0269259
0.23059 -0.0116073 0.0266485
0.231402 0.0131515 0.0271831
0.232213 0.0321115 0.0276916
0.233024 0.0105955 0.0279473
0.233836 0.0457029 0.0263095
0.234647 0.0709785 0.0279559
0.235458 -0.0125206 0.0264751
0.23627 0.0209184 0.027563
0.237081 0.0233342 0.0279835
0.237893 0.00651585 0.0275437
0.238704 -0.00146837 0.0270992
0.239515 0.0200392 0.026324
0.240327 -0.000922087 0.0269588
0.241138 0.032428 0.026776
0.241949 0.067026 0.0270368
0.242761 0.00279518 0.0271234
0.243572 0.0529616 0.0261862
0.244384 0.0259865 0.0271758
0.245195 0.0358054 0.0266644
0.246006 0.017663 0.0279313
0.246818 0.00432922 0.0258029
0.247629 -0.0279838 0.026116
0.24844 0.0311447 0.0262944
0.249252 0.0577734 0.0263321
0.250063 0.0211289 0.0271305
0.250875 0.0122063 0.026558
0.251686 0.0391603 0.0268025
0.252497 0.0657547 0.0258739
0.253309 0.0341916 0.0268567
0.25412 -0.0073837 0.0271923
0.254931 0.0177529 0.0268566
0.255743 0.0372333 0.0270951
0.256554 0.0352483 0.0258478
0.257366 0.0295885 0.0273165
0.258177 0.0219381 0.0261056
0.258988 0.00722723 0.0269945
0.2598 0.0281832 0.0265145
0.260611 -0.0365966 0.0262512
0.261422 0.0264443 0.0257394
0.262234 0.0025874 0.0259605
0.263045 0.0202566 0.0265715
0.263857 -0.00310674 0.0256549
0.264668 0.0324371 0.026063
0.265479 0.0381469 0.0265857
0.266291 0.0319193 0.0259384
0.267102 0.00616017 0.0271302
0.267913 0.0196097 0.0264508
0.268725 0.0697993 0.0262139
0.269536 0.0346251 0.0262986
0.270347 -0.000544555 0.0268793
0.271159 0.0461275 0.026262
0.27197 0.0433767 0.026501
0.272782 0.0486366 0.0267948
0.273593 -0.00434133 0.0258193
0.274404 0.0401892 0.026534
0.275216 0.0126868 0.0264326
0.276027 -0.0152042 0.0262917
0.276838 0.0266574 0.0266908
0.27765 -0.0249112 0.0259965
0.278461 0.037999 0.0274608
0.279273 0.0585608 0.0267889
0.280084 0.0100911 0.0264839
0.280895 -0.000847726 0.0257044
0.281707 -0.0198012 0.0264102
0.282518 0.00961658 0.0258054
0.283329 0.0327047 0.0268609
0.284141 0.0471381 0.0260255
0.284952 0.0117504 0.0263225
0.285764 0.0511742 0.0265666
0.286575 0.0165685 0.0257979
0.287386 0.0592646 0.0256543
0.288198 0.0296564 0.0259873
0.289009 0.00502378 0.0256153
0.28982 -0.00636634 0.0257814
0.290632 0.0231226 0.0255779
0.291443 -0.0199428 0.0258127
0.292255 0.00476422 0.0259809
0.293066 0.0127967 0.0253919
0.293877 0.0246063 0.0256162
0.294689 0.0151061 0.0258788
0.2955 0.019701 0.0256472
0.296311 0.0250204 0.0260385
0.297123 -0.0164268 0.026115
0.297934 0.0436235 0.0262953
0.298746 0.0115382 0.0259767
0.299557 0.0443573 0.0254175
0.300368 0.0121549 0.0253106
0.30118 -3.25867e-05 0.0245254
0.301991 0.0198594 0.0245889
0.302802 0.0282174 0.0247482
0.303614 -0.000493796 0.024615
0.304425 0.0572834 0.0257102
0.305237 0.0428215 0.0253814
0.306048 0.0139403 0.0241345
0.306859 0.0652949 0.0244991
0.307671 0.00250201 0.0257927
0.308482 -0.0144606 0.0254242
0.309293 0.0121795 0.0247585
0.310105 0.0400577 0.0252411
0.310916 -0.0248843 0.0253689
0.311728 -0.0133196 0.02575
0.312539 0.0334188 0.0254454
0.31335 -0.0221986 0.024756
0.314162 0.0330812 0.0256083
0.314973 0.0181919 0.0251567
0.315784 0.0250712 0.0246659
0.316596 -0.00498768 0.0246689
0.317407 0.0346223 0.0255224
0.318219 -0.00268003 0.0243923
0.31903 0.0189518 0.0250079
0.319841 0.022517 0.0251377
0.320653 0.00335905 0.0255234
0.321464 -0.00270928 0.024395
0.322275 0.0589104 0.0253191
0.323087 -0.0188423 0.0240569
0.323898 0.00978123 0.0257434
0.324709 0.0613356 0.024755
0.325521 0.00487856 0.0252602
0.326332 0.0235626 0.0253043
0.327144 -0.0145655 0.0247351
0.327955 0.0675249 0.0253217
0.328766 0.0142276 0.0252181
0.329578 -0.00579136 0.0251896
0.330389 -0.010105 0.0247383
0.3312 0.0317878 0.0245582
0.332012 0.0386788 0.024685
0.332823 0.0313316 0.0240967
0.333635 0.00738759 0.0246302
0.334446 0.079006 0.024415
0.335257 0.0357206 0.0247837
0.336069 -0.0121002 0.0240765
0.33688 0.0145369 0.0251358
0.337691 0.0204266 0.0240458
0.338503 -0.0194197 0.0249316
0.339314 0.00137398 0.0248326
0.340126 0.00761759 0.0257831
0.340937 0.016889 0.0250188
0.341748 -0.0463823 0.0249957
0.34256 0.0405996 0.0241316
0.343371 0.0281278 0.0241954
0.344182 -0.0410507 0.0242633
0.344994 -0.00871079 0.0248935
0.345805 0.0283327 0.0242758
0.346617 0.0245563 0.0234817
0.347428 -0.043079 0.0246544
0.348239 0.0200924 0.0244477
0.349051 0.0359913 0.025025
0.349862 0.00954125 0.0241918
0.350673 0.00476623 0.0237774
0.351485 0.0463689 0.0248524
0.352296 0.0100009 0.0240982
0.353108 -0.0203835 0.0240784
0.353919 -0.0030837 0.0239331
0.35473 0.034179 0.0243626
0.355542 0.0403543 0.0238895
0.356353 0.0128957 0.0241845
0.357164 0.0374605 0.0245943
0.357976 0.037869 0.0238487
0.358787 0.0214022 0.0236518
0.359599 0.0241065 0.0241546
0.36041 0.0102688 0.0237491
0.361221 -0.0186492 0.0242324
0.362033 0.0166744 0.0243633
0.362844 0.00243766 0.0239038
0.363655 -0.02988 0.0235473
0.364467 0.0502008 0.0234836
0.365278 0.0342846 0.0238654
0.36609 0.0303021 0.0239394
0.366901 -0.0224994 0.0232958
0.367712 0.0325899 0.023844
0.368524 0.0258134 0.0239168
0.369335 0.0189265 0.0242512
0.370146 0.00198505 0.0237883
0.370958 0.0440081 0.0245391
0.371769 0.0266685 0.023898
0.372581 -0.00419619 0.0241165
0.373392 0.0417443 0.0229975
0.374203 0.0136866 0.0243543
0.375015 0.0580859 0.0233124
0.375826 0.0406653 0.0238642
0.376637 0.0597356 0.0235467
0.377449 0.0253711 0.0234785
0.37826 0.0236645 0.0235984
0.379072 -0.0168438 0.0230967
0.379883 0.0103211 0.0234127
0.380694 -0.00182519 0.0223199
0.381506 0.0594798 0.0222331
0.382317 0.00218028 0.0227886
0.383128 -0.00156566 0.0222363
0.38394 0.0102217 0.0227641
0.384751 0.0168618 0.0233437
0.385562 -0.00881973 0.0230803
0.386374 0.0307193 0.0234573
0.387185 -0.0110935 0.0234926
0.387997 0.0288726 0.0229754
0.388808 -0.0147617 0.0230236
0.389619 0.00630727 0.0227584
0.390431 0.0304045 0.0227372
0.391242 -0.0199794 0.0228642
0.392053 0.0188897 0.0238607
0.392865 0.0322816 0.0223307
0.393676 -0.00388627 0.0233028
0.394488 -0.0499464 0.0228041
0.395299 0.0180662 0.0235996
0.39611 0.0270969 0.022699
0.396922 0.0137825 0.022858
0.397733 0.025934 0.0234051
0.398544 0.0177087 0.0231486
0.399356 0.017577 0.0227855
0.400167 0.0322603 0.0231691
0.400979 0.0500824 0.0227633
0.40179 0.0195747 0.0231121
0.402601 0.0335043 0.0224853
0.403413 0.0510954 0.0228344
0.404224 0.00693061 0.0227902
0.405035 0.0288711 0.0229935
0.405847 0.033056 0.0224934
0.406658 -0.00767374 0.0231028
0.40747 0.00162903 0.0228414
0.408281 0.0333934 0.022243
0.409092 0.0275983 0.0225809
0.409904 -0.0125318 0.0224904
0.410715 0.0305392 0.0231988
0.411526 -0.0107646 0.0231248
0.412338 0.000842798 0.0230844
0.413149 0.0354592 0.0230399
0.413961 0.0157929 0.0224776
0.414772 0.0103299 0.0218183
0.415583 0.0124048 0.0225047
0.416395 0.0289138 0.0233532
0.417206 -0.0075152 0.0232403
0.418017 0.0297523 0.022656
0.418829 0.0328608 0.0233846
0.41964 0.0275651 0.0226329
0.420452 0.0203485 0.0232594
0.421263 -0.00523975 0.0230269
0.422074 0.0047383 0.0232112
0.422886 -0.0236717 0.0226563
0.423697 0.013564 0.0232021
0.424508 0.00595309 0.0228102
0.42532 0.0108292 0.0231722
0.426131 0.0574527 0.0231529
0.426943 0.0162613 0.0227609
0.427754 0.0174872 0.0221889
0.428565 0.0199836 0.0230175
0.429377 0.00456483 0.0223149
0.430188 0.00238023 0.0229287
0.430999 0.0337274 0.0221757
0.431811 -0.0151521 0.0221055
0.432622 -0.00100564 0.0232607
0.433434 0.0352545 0.0229083
0.434245 0.0197865 0.0227144
0.435056 0.00293022 0.0221244
0.435868 0.00218658 0.0224839
0.436679 0.00460522 0.0223448
0.43749 0.0559989 0.0216515
0.438302 0.0149273 0.0226587
0.439113 0.0330182 0.0220246
0.439924 0.00840621 0.0222364
0.440736 -0.0119639 0.0226898
0.441547 -0.0080866 0.02265
0.442359 0.0330925 0.0221987
0.44317 0.00234016 0.0220246
0.443981 0.0251985 0.0222331
0.444793 0.0257362 0.0223045
0.445604 0.0133601 0.02251
0.446415 0.00663213 0.0235567
0.447227 0.05598 0.0232899
0.448038 0.0276593 0.0216409
0.44885 -0.0108571 0.0228919
0.449661 0.0433549 0.0223423
0.450472 0.0233556 0.0225864
0.451284 0.0374027 0.0224214
0.452095 0.0120104 0.0230391
0.452906 0.0403214 0.022248
0.453718 0.0135836 0.0229058
0.454529 0.0606593 0.02193
0.455341 0.00695777 0.022608
0.456152 -0.00887878 0.0213323
0.456963 0.0156119 0.0229201
0.457775 0.0722524 0.0221194
0.458586 0.0278395 0.0211332
0.459397 0.0365354 0.0206747
0.460209 0.030401 0.0203039
0.46102 0.0601883 0.0210887
0.461832 0.0354981 0.0217943
0.462643 0.022289 0.0218579
0.463454 0.0735721 0.021643
0.464266 0.0118558 0.0206475
0.465077 0.0293812 0.0216354
0.465888 -0.00138168 0.021973
0.4667 0.0217801 0.0210786
0.467511 0.00833121 0.0215437
0.468323 0.0211383 0.0217454
0.469134 0.0218903 0.0215887
0.469945 0.0212888 0.0218951
0.470757 0.0122706 0.0213107
0.471568 0.0357436 0.0216932
0.472379 0.0774681 0.0217449
0.473191 -0.0477016 0.0220322
0.474002 0.00793573 0.0223381
0.474814 0.0253245 0.0221054
0.475625 0.0668967 0.0214449
0.476436 0.0534734 0.0218118
0.477248 0.00166631 0.022187
0.478059 0.026279 0.0223255
0.47887 0.00850728 0.0215301
0.479682 0.00667482 0.0213785
0.480493 0.0154445 0.0214302
0.481305 0.0435745 0.0215892
0.482116 -0.00439677 0.0219724
0.482927 0.0308479 0.021986
0.483739 0.0458601 0.0216045
0.48455 0.0400714 0.021784
0.485361 0.0552551 0.0219135
0.486173 0.00361705 0.0208842
0.486984 -0.0152316 0.0214736
0.487796 0.0449398 0.0228896
0.488607 0.039308 0.0219419
0.489418 0.00996865 0.022778
0.49023 0.0355744 0.0219741
0.491041 0.00429907 0.0218042
0.491852 0.0137216 0.0216719
0.492664 0.00978015 0.0212259
0.493475 0.0548507 0.0210866
0.494287 0.0545479 0.021697
0.495098 0.00735093 0.0218807
0.495909 0.0421213 0.0222282
0.496721 0.0263854 0.0219553
0.497532 -0.0160978 0.0211897
0.498343 0.0386981 0.0217509
0.499155 0.0436673 0.0218539
0.499966 0.0359693 0.0210079
0.500777 -0.000964436 0.0217097
0.501589 0.00924255 0.0209987
0.5024 0.0273911 0.0220425
0.503212 0.0176976 0.0220499
0.504023 0.00994842 0.0216543
0.504834 -0.00506801 0.0217571
0.505646 0.00403283 0.0209693
0.506457 0.00125446 0.021562
0.507268 -0.00197867 0.0221991
0.50808 0.00771634 0.0217154
0.508891 0.0505575 0.0206729
0.509703 0.0478055 0.0219448
0.510514 0.00677712 0.0221158
0.511325 0.0211497 0.0217797
0.512137 0.0298748 0.0218065
0.512948 0.00340638 0.0224498
0.513759 0.0444305 0.0212325
0.514571 0.0200279 0.0209361
0.515382 0.0144594 0.0216193
0.516194 0.0178106 0.0213354
0.517005 0.0447955 0.0218408
0.517816 0.0334504 0.0218005
0.518628 0.0498004 0.0208697
0.519439 0.0402239 0.0213728
0.52025 0.0202411 0.0216377
0.521062 0.0286475 0.0214818
0.521873 -0.0152548 0.0208706
0.522685 0.0292005 0.0211328
0.523496 0.0171374 0.0212946
0.524307 -0.011434 0.021213
0.525119 0.0332802 0.0213848
0.52593 -0.0115279 0.0208504
0.526741 0.00291291 0.0211703
0.527553 -0.0161502 0.0216599
0.528364 0.0226605 0.0213586
0.529176 0.0293368 0.0213028
0.529987 0.0201513 0.0212761
0.530798 0.018005 0.0211986
0.53161 0.00832599 0.0208694
0.532421 0.0254536 0.0212938
0.533232 0.0236086 0.021543
0.534044 0.0262506 0.0209643
0.534855 0.00609049 0.0209158
0.535667 0.033194 0.0207883
0.536478 0.0191579 0.0208404
0.537289 0.039964 0.0199704
0.538101 0.039682 0.0203041
0.538912 0.0305493 0.0193364
0.539723 0.00313234 0.020428
0.540535 0.0194641 0.0206886
0.541346 0.0577147 0.0201727
0.542158 0.0449623 0.0214263
0.542969 0.0254726 0.0206162
0.54378 0.0375471 0.0202972
0.544592 0.0138504 0.0206361
0.545403 0.0209872 0.020981
0.546214 0.0420459 0.0205934
0.547026 0.0526071 0.020756
0.547837 0.0103324 0.0217063
0.548649 0.0129484 0.020816
0.54946 0.0259327 0.0202103
0.550271 0.0418474 0.0203028
0.551083 0.0278124 0.021288
0.551894 0.0596555 0.0205059
0.552705 0.0232045 0.0210532
0.553517 -0.0124317 0.0207599
0.554328 0.0156755 0.0209109
0.55514 -0.00330897 0.0215314
0.555951 0.0289299 0.0209298
0.556762 -0.00953082 0.0209703
0.557574 0.013544 0.0217492
0.558385 0.030213 0.020842
0.559196 0.031396 0.0226259
0.560008 0.0253136 0.0213726
0.560819 0.0698862 0.0208684
0.56163 0.0245176 0.0214622
0.562442 0.0697515 0.021717
0.563253 0.0389938 0.0214545
0.564065 0.0341462 0.0215056
0.564876 0.0302099 0.0216441
0.565687 0.0257563 0.0220913
0.566499 0.0143191 0.0205797
0.56731 0.0140676 0.0214006
0.568121 0.0355743 0.0217242
0.568933 0.0283836 0.0211332
0.569744 -0.0119062 0.0216137
0.570556 0.0284201 0.0213213
0.571367 0.0187444 0.0217237
0.572178 0.027733 0.0218173
0.57299 0.00369686 0.0219814
0.573801 0.00312213 0.0215655
0.574612 0.0385312 0.0211196
0.575424 0.0315214 0.0215968
0.576235 0.00917923 0.0218372
0.577047 0.015406 0.0214413
0.577858 -0.0393289 0.0225118
0.578669 0.0205858 0.0213052
0.579481 0.00341473 0.0213316
0.580292 0.00634047 0.0218416
0.581103 -0.00285495 0.0216416
0.581915 0.0528657 0.0216124
0.582726 -0.00586821 0.021623
0.583538 -0.000690643 0.0216801
0.584349 0.0289647 0.0215107
0.58516 0.0138204 0.0219463
0.585972 0.0176698 0.0217868
0.586783 0.0148861 0.0219986
0.587594 -0.0168862 0.0215145
0.588406 -0.050772 0.0215303
0.589217 0.0279465 0.02177
0.590029 0.0711285 0.0215249
0.59084 0.00811029 0.0219442
0.591651 0.0341745 0.0204509
0.592463 0.0164573 0.0218365
0.593274 0.0360318 0.0208097
0.594085 0.00509315 0.0211447
0.594897 0.0344793 0.021656
0.595708 0.00123405 0.0215016
0.59652 0.00538714 0.0215983
0.597331 0.0286975 0.0214019
0.598142 -0.0228388 0.0215767
0.598954 -0.0162795 0.023093
0.599765 0.0191036 0.0221381
0.600576 -0.00665681 0.0221991
0.601388 0.000305003 0.0217145
0.602199 0.0115789 0.0217948
0.603011 0.0295163 0.0222358
0.603822 0.016786 0.0212214
0.604633 0.0659393 0.0211076
0.605445 0.0552644 0.0217373
0.606256 0.0214412 0.0210394
0.607067 0.0120037 0.0216823
0.607879 0.0201846 0.0210664
0.60869 0.0220135 0.0214017
0.609502 0.00687677 0.0217674
0.610313 0.0426737 0.0218289
0.611124 0.00468259 0.0212433
0.611936 -0.00397303 0.0223685
0.612747 0.0346564 0.0221436
0.613558 0.032512 0.0217455
0.61437 -0.0110952 0.0217559
==============================================
Sample description:                     rnabuf2
Sample code:                            feb7
Sample concentration:                   1
Beam center X [px]:                     754.19
Beam center Y [px]:                     199.712
Exposure time [s]:                      3600
Sample temperature [deg C]:             4
