Metabolite,Cell,Blank,Temperature,H.start,K.start,Syrringe.X,Syringe.M,Syringe.C,Cell.X,Cell.M,Cell.C,Sat.threshold,Replicate
UTP,M15mMMginto200uMUTP240mMNa140mMK10mMHEPES43CpH7.itc,B15mMMginto240mMNa140mMK10mMHEPES43CpH7.itc,43,2.534,2880,15,0,0,0,0.2,0,0.9,1
UTP,M15mMMginto200uMUTP240mMNa140mMK10mMHEPES49CpH7.itc,B15mMMginto240mMNa140mMK10mMHEPES49CpH7.itc,49,2.534,2880,15,0,0,0,0.2,0,0.9,1
dTTP,M15mMMginto200uMdTTP240mMNa140mMK10mMHEPES25CpH7.itc,02_B15mMMgintoB25CpH7js2021.itc,25,2.534,2880,15,0,0,0,0.2,0,0.9,1
dTTP,M15mMMginto200uMdTTP240mMNa140mMK10mMHEPES31CpH7.itc,04_B15mMMgintoB31CpH7js2021.itc,31,2.534,2880,15,0,0,0,0.2,0,0.9,1
dTTP,M15mMMginto200uMdTTP240mMNa140mMK10mMHEPES37CpH7.itc,06_B15mMMgintoB37CpH7js2021.itc,37,2.534,2880,15,0,0,0,0.2,0,0.9,1
dTTP,M15mMMginto200uMdTTP240mMNa140mMK43CpH7.itc,B15mMMginto240mMNa140mMK10mMHEPES43CpH7.itc,43,2.534,2880,15,0,0,0,0.2,0,0.9,1
dTTP,M15mMMginto200uMdTTP240mMNa140mMK49CpH7.itc,B15mMMginto240mMNa140mMK10mMHEPES49CpH7.itc,49,2.534,2880,15,0,0,0,0.2,0,0.9,1
Glucose 6-P,M100mMMgCl2into5mMGlu6P240Na140K10mMHEPES25CpH7.itc,B100mMMgCl2into240Na140K10mMHEPES25CpH7.itc,25,0.5,50,100,0,0,0,5,0,1,1
"Fructose 1,6-BP",M100mMMginto2mMFru16BP240Na140K10mMHEPES25CpH7.itc,B100mMMgCl2into240Na140K10mMHEPES25CpH7.itc,25,0.5,50,100,0,0,0,2,0,1,1
6-P Gluconic acid,M100mMMginto2mM6PGluconate240Na140K10mMHEPES25CpH7.itc,B100mMMgCl2into240Na140K10mMHEPES25CpH7.itc,25,0.5,50,100,0,0,0,2,0,1,1
Glucose 6-P,M100mMMgCl2into2mMGlu6P240Na140K10mMHEPES31CpH7.itc,B100mMMgCl2into240Na140K10mMHEPES31CpH7.itc,31,0.5,50,100,0,0,0,5,0,1,1
"Fructose 1,6-BP",M100mMMgCl2into2mMFru16BP240Na140K10mMHEPES31CpH7.itc,B100mMMgCl2into240Na140K10mMHEPES31CpH7.itc,31,0.5,50,100,0,0,0,2,0,1,1
6-P Gluconic acid,M100mMMgCl2into2mM6PGluconate240Na140K10mMHEPES31CpH7.itc,B100mMMgCl2into240Na140K10mMHEPES31CpH7.itc,31,0.5,50,100,0,0,0,2,0,1,1
Glucose 6-P,M100mMMgCl2into5mMGlu6P240Na140K10mMHEPES37CpH7.itc,B100mMMgCl2into240Na140K10mMHEPES37CpH7.itc,37,0.5,50,100,0,0,0,5,0,1,1
"Fructose 1,6-BP",M100mMMgCl2into5mMFru16BP240Na140K10mMHEPES37CpH7.itc,B100mMMgCl2into240Na140K10mMHEPES37CpH7.itc,37,0.5,50,100,0,0,0,5,0,1,1
6-P Gluconic acid,M100mMMgCl2into5mM6Pgluconate240Na140K10mMHEPES37CpH7.itc,B100mMMgCl2into240Na140K10mMHEPES37CpH7.itc,37,0.5,50,100,0,0,0,5,0,1,1
Glucose 6-P,M100mMMgCl2into5mMGlu6P240Na140K10mMHEPES43CpH7.itc,B100mMMgCl2into240Na140K10mMHEPES43CpH7.itc,43,0.5,50,100,0,0,0,5,0,1,1
"Fructose 1,6-BP",M100mMMgCl2into5mMFru16BP240Na140K10mMHEPES43CpH7.itc,B100mMMgCl2into240Na140K10mMHEPES43CpH7.itc,43,0.5,50,100,0,0,0,5,0,1,1
6-P Gluconic acid,M100mMMgCl2into5mM6PGluconate240Na140K10mMHEPES43CpH7.itc,B100mMMgCl2into240Na140K10mMHEPES43CpH7.itc,43,0.5,50,100,0,0,0,5,0,1,1
Glucose 6-P,M100mMMgCl2into5mMGlu6P240Na140K10mMHEPES49CpH7.itc,B100mMMgCl2into240Na140K10mMHEPES49CpH7.itc,49,0.5,50,100,0,0,0,5,0,1,1
"Fructose 1,6-BP",M100mMMgCl2into5mMFru16BP240Na140K10mMHEPES49CpH7.itc,B100mMMgCl2into240Na140K10mMHEPES49CpH7.itc,49,0.5,50,100,0,0,0,5,0,1,1
6-P Gluconic acid,M100mMMgCl2into5mM6PGluconate240Na140K10mMHEPES49CpH7.itc,B100mMMgCl2into240Na140K10mMHEPES49CpH7.itc,49,0.5,50,100,0,0,0,5,0,1,1
Glucose 6-P,M2100mMMgCl2into5mMGlu6P240mMNa140mMK10mMHEPES43CpH7.itc,B2100mMMgCl2into240mMNa140mMK10mMHEPES43CpH7.itc,43,0.5,50,100,0,0,0,5,0,1,2
"Fructose 1,6-BP",M2100mMMgCl2into5mMFru16BP240mMNa140mMK10mMHEPES43CpH7.itc,B2100mMMgCl2into240mMNa140mMK10mMHEPES43CpH7.itc,43,0.5,50,100,0,0,0,5,0,1,2
6-P Gluconic acid,M2100mMMgCl2into5mM6PGluconate240mMNa140mMK10mMHEPES43CpH7.itc,B2100mMMgCl2into240mMNa140mMK10mMHEPES43CpH7.itc,43,0.5,50,100,0,0,0,5,0,1,2
