"Iteration","MCM","MCM.conc"
33,"Ecoli80",201.110956405002
34,"NTPCM",29.429976338675
34,"WMCM",160.543434241955
34,"Ecoli80",189.97341058063
35,"NTPCM",27.2106688882492
35,"WMCM",159.933982557323
35,"Ecoli80",187.144651445572
36,"NTPCM",29.0412626392277
36,"WMCM",156.589641213661
36,"Ecoli80",185.630903852889
37,"NTPCM",28.5716805384111
37,"WMCM",178.262872722979
37,"Ecoli80",206.83455326139
38,"NTPCM",27.9648087213283
38,"WMCM",168.59970092647
38,"Ecoli80",196.564509647798
39,"NTPCM",25.9653614720752
39,"WMCM",156.599808367769
39,"Ecoli80",182.565169839845
40,"NTPCM",27.1824339851889
40,"WMCM",163.873049766227
40,"Ecoli80",191.055483751416
41,"NTPCM",31.1272390682366
41,"WMCM",163.846374624046
41,"Ecoli80",194.973613692282
42,"NTPCM",27.4207412875091
42,"WMCM",140.655373284532
42,"Ecoli80",168.076114572041
43,"NTPCM",27.4036617616765
43,"WMCM",169.604210223147
43,"Ecoli80",197.007871984823
44,"NTPCM",27.791774207836
44,"WMCM",169.872955254237
44,"Ecoli80",197.664729462073
45,"NTPCM",26.1598245408421
45,"WMCM",152.424124251286
45,"Ecoli80",178.583948792128
46,"NTPCM",28.9723771267149
46,"WMCM",162.617257295807
46,"Ecoli80",191.589634422522
47,"NTPCM",26.2536243810918
47,"WMCM",143.738972323719
47,"Ecoli80",169.992596704811
48,"NTPCM",28.2996807582787
48,"WMCM",162.080489690623
48,"Ecoli80",190.380170448902
49,"NTPCM",28.9834399449467
49,"WMCM",168.834358808443
49,"Ecoli80",197.81779875339
50,"NTPCM",31.2444093395731
50,"WMCM",166.806769269801
50,"Ecoli80",198.051178609374
51,"NTPCM",27.2090961159053
51,"WMCM",169.970123325022
51,"Ecoli80",197.179219440927
52,"NTPCM",26.4238090552542
52,"WMCM",170.300789963489
52,"Ecoli80",196.724599018743
53,"NTPCM",29.0113797786087
53,"WMCM",153.715653574315
53,"Ecoli80",182.727033352923
54,"NTPCM",28.6220513585575
54,"WMCM",152.35129339147
54,"Ecoli80",180.973344750027
55,"NTPCM",26.6674730403726
55,"WMCM",164.483720153775
55,"Ecoli80",191.151193194147
56,"NTPCM",27.0869878273988
56,"WMCM",166.062377095991
56,"Ecoli80",193.149364923389
57,"NTPCM",33.475029440611
57,"WMCM",163.085747641029
57,"Ecoli80",196.56077708164
58,"NTPCM",28.6160440252604
58,"WMCM",166.070128071864
58,"Ecoli80",194.686172097124
59,"NTPCM",27.2128503479645
59,"WMCM",176.599091832779
59,"Ecoli80",203.811942180744
60,"NTPCM",26.7921159641654
60,"WMCM",170.727620670519
60,"Ecoli80",197.519736634684
61,"NTPCM",27.4947972947482
61,"WMCM",171.424634404971
61,"Ecoli80",198.919431699719
62,"NTPCM",26.2787437874723
62,"WMCM",175.988927495568
62,"Ecoli80",202.267671283041
63,"NTPCM",27.8098120884922
63,"WMCM",181.868347966872
63,"Ecoli80",209.678160055364
64,"NTPCM",26.0150183470498
64,"WMCM",171.02295986565
64,"Ecoli80",197.0379782127
65,"NTPCM",25.3379387830444
65,"WMCM",154.826717656556
65,"Ecoli80",180.164656439601
