"i","Mg.T","Mg.free","Mg.free.NTP","Mg.free.WMCM"
83,2.6675275736957,0.0225701687049799,0.0228882842368986,0.869892836900719
83,2.76035042208197,0.0233377921006861,0.0239161083585729,0.90126927553671
83,2.85640325814204,0.024263640832531,0.0248178101051908,0.933810230856445
83,2.95579847683635,0.0251060237009259,0.0257537495224749,0.967560810537632
83,3.05865238417034,0.0262142234090227,0.0266803134049897,1.00256796230363
83,3.16508533328839,0.0272823402224424,0.0278306041725885,1.03888055208298
83,3.27522186530347,0.0283493280367204,0.0289468256714978,1.07654944545492
83,3.38919085502727,0.0294446372981803,0.0299822945215996,1.11562759250137
83,3.50712566177137,0.0306200089963322,0.0311352439411078,1.15617011618853
83,3.62916428539586,0.0318586944472608,0.0325935381617229,1.19823440440355
83,3.75544952778812,0.0331337697816629,0.0337079983841728,1.24188020577384
83,3.88612915996048,0.0344484789008853,0.0350769440371156,1.28716972939881
83,4.02135609496259,0.0358820468370642,0.0366845528763395,1.33416774862587
83,4.16128856681059,0.0373446923070824,0.0380434938382716,1.38294170900391
83,4.30609031564254,0.0388471422717987,0.0397865512382252,1.43356184054972
83,4.45593077931683,0.0403815965780895,0.0414397993824652,1.48610127446351
83,4.61098529167758,0.0419447916223686,0.0429609680952391,1.54063616443162
83,4.77143528771933,0.0437511315653436,0.0447896505417458,1.59724581265498
83,4.93746851589072,0.0457325715630573,0.0468942731908375,1.65601280074316
83,5.10927925778591,0.047679487497888,0.048886381092223,1.71702312561428
83,5.28706855548061,0.0495323548802839,0.0509680529886107,1.78425964690477
83,5.47104444677881,0.0516430573603841,0.0532131709068827,1.85078000179332
83,5.66142220864553,0.0541218443903722,0.0555531058549493,1.91991923380533
83,5.85842460911021,0.0562487726346963,0.0579906629591544,1.99178847595516
83,6.06228216793592,0.0587643148859969,0.060583212674796,2.06738769201478
83,6.2732334263589,0.0615934694493481,0.0631400757459269,2.14432610285349
83,6.49152522621456,0.0643729071074102,0.0661826899022518,2.22595081611534
83,6.71741299877609,0.0670495271953963,0.0690673688708884,2.31005743784687
83,6.95116106364409,0.0702137468025277,0.0722993278159502,2.39757315530897
83,7.19304293803659,0.073622931663854,0.075906594697742,2.48511279333513
83,7.4433416568417,0.0770495831179042,0.0795028373627582,2.58091420136894
83,7.70235010380708,0.080731030516997,0.083094381124131,2.68058302718155
83,7.97037135425405,0.0846055147621198,0.0873670669228292,2.78428083281379
83,8.24771902971715,0.0887108277554637,0.0917376574535941,2.89217587300433
83,8.53471766492427,0.0928684974332061,0.096162789129484,3.00444334790687
83,8.83170308754667,0.0975423918467858,0.101139907657847,3.12126566325755
83,9.13902281116332,0.102546421925267,0.106315163741643,3.24283269812107
83,9.4570364418993,0.107795412001471,0.111912454438259,3.36934208034991
83,9.78611609921423,0.113645489568137,0.118175681210107,3.5009994698976
83,10.1266468513329,0.11945618949767,0.124585479878693,3.63801885013512
83,10.4790271658277,0.126260611462094,0.131552506143489,3.78062282732958
83,10.8436693758806,0.133001934667615,0.139006410682769,3.92209629129467
83,11.2210001627687,0.140560849759789,0.147163752505298,4.07820073334703
83,11.6114610551403,0.148682477892987,0.155767385112502,4.24076717223928
83,12.0155089456635,0.157498801388351,0.165583279700859,4.41006554728794
83,12.4336166256535,0.166856630050847,0.175703232954286,4.58637650928459
83,12.8662733383027,0.177128977906887,0.186895212510955,4.76999178870492
83,13.3139853511622,0.188449944504087,0.199635510088559,4.96121457388802
83,13.7772765485446,0.200573491126846,0.212920047085774,5.16035989949399
83,14.2566890445397,0.213904724418199,0.2283575210018,5.3677550455773
83,14.7527838173627,0.228389961411292,0.245144150803956,5.58373994764373
83,15.266141365775,0.24420577269731,0.26327372320987,5.81481465469489
83,15.7973623883474,0.262054974408413,0.283847042919732,6.05304502375
83,16.3470684863597,0.281637594055188,0.307230742623157,6.30035527386434
83,16.9159028911592,0.304190895157714,0.33385612028251,6.55971650386318
83,17.5045312168292,0.328836575724987,0.364347632658119,6.83069217675417
83,18.1136422390487,0.355868578575633,0.398545145815472,7.11381684418488
83,18.7439487010543,0.387005363841412,0.439203072321845,7.40966717370031
