"Well","A","B","Tm","invT","Helix","Condition"
"C8",232.732015943395,100,41.1506293725526,0.00318166718913777,"H","Monovalent"
"D1",190.081805109751,1000,68.9715875165766,0.00292293744822971,"I","Monovalent"
"D2",190.081805109751,800,68.2324510261261,0.00292926598011762,"I","Monovalent"
"D3",190.081805109751,600,67.4956224128829,0.00293560208675731,"I","Monovalent"
"D4",190.081805109751,400,66.2813311048048,0.00294610399324402,"I","Monovalent"
"D5",190.081805109751,250,64.5372297116817,0.00296132015668405,"I","Monovalent"
"D6",190.081805109751,200,63.7979792376877,0.00296781717540614,"I","Monovalent"
"D7",190.081805109751,150,63.6413355505706,0.00296919752512412,"I","Monovalent"
"D8",190.081805109751,100,63.7997208053453,0.0029678018358641,"I","Monovalent"
"D9",190.081805109751,50,63.2716251050951,0.00297246052386677,"I","Monovalent"
"E1",190.081805109751,1000,69.1299739073874,0.00292158489024127,"I","Monovalent"
"E2",190.081805109751,800,68.1268600989189,0.00293017229386766,"I","Monovalent"
"E3",190.081805109751,600,67.8123940584685,0.00293287476104628,"I","Monovalent"
"E4",190.081805109751,400,66.3341263790691,0.0029456458264072,"I","Monovalent"
"E5",190.081805109751,250,65.1180693698198,0.00295623527772799,"I","Monovalent"
"E6",190.081805109751,200,63.850782842973,0.00296735215735672,"I","Monovalent"
"E7",190.081805109751,150,63.9053109751952,0.00296687210507593,"I","Monovalent"
"E8",190.081805109751,100,63.7469257204204,0.00296826691980522,"I","Monovalent"
"E9",190.081805109751,50,63.1660332311812,0.00297339377606362,"I","Monovalent"
"F1",190.081805109751,1000,68.8132011257658,0.00292429125914114,"I","Monovalent"
"F2",190.081805109751,800,68.2324510261261,0.00292926598011762,"I","Monovalent"
"F3",190.081805109751,600,67.4956224128829,0.00293560208675731,"I","Monovalent"
"F4",190.081805109751,400,66.2813311048048,0.00294610399324402,"I","Monovalent"
"F5",190.081805109751,250,64.590033316967,0.00296085717224261,"I","Monovalent"
"F6",190.081805109751,200,63.7451756324024,0.0029682823392257,"I","Monovalent"
"F7",190.081805109751,150,63.9053109751952,0.00296687210507593,"I","Monovalent"
"F8",190.081805109751,100,63.2189748711712,0.00297292578895839,"I","Monovalent"
"F9",190.081805109751,50,64.2219519703203,0.00296408754242846,"I","Monovalent"
"A1",256.488615086549,1000,48.2507175356757,0.0031113807326488,"J","Monovalent"
"A2",256.488615086549,800,47.3607318705105,0.0031200203318122,"J","Monovalent"
"A3",256.488615086549,600,46.6790854735536,0.00312666997912136,"J","Monovalent"
"A4",256.488615086549,400,45.5769621614414,0.00313748166524262,"J","Monovalent"
"A5",256.488615086549,250,44.4755013568769,0.00314836181518191,"J","Monovalent"
"A6",256.488615086549,200,44.3907285101501,0.00314920232340537,"J","Monovalent"
