#
# This scattering intensity file was created by WAXSiS
#
# The calculated I(q) was interpolated to the experimental q-values
#
# q[A-1]        I(q)              sigma(q)
2.41949 263894 5653.65
2.42761 259770 5589.47
2.43572 255651 5525.36
2.44384 251527 5461.18
2.45195 247408 5397.08
2.46006 243289 5332.97
2.46818 239164 5268.79
2.47629 235045 5204.69
2.4844 230926 5140.59
2.49252 226802 5076.4
2.50063 222782 5014.39
2.50875 219927 4977.21
2.51686 217077 4940.06
2.52497 214226 4902.92
2.53309 211372 4865.73
2.5412 208522 4828.59
2.54931 205671 4791.45
2.55743 202817 4754.26
2.56554 199966 4717.12
2.57366 197112 4679.93
2.58177 194262 4642.79
2.58988 191411 4605.65
2.598 188557 4568.46
2.60611 186392 4552.98
2.61422 184452 4544.6
2.62234 182510 4536.2
2.63045 180569 4527.81
2.63857 178627 4519.42
2.64668 176687 4511.03
2.65479 174747 4502.65
2.66291 172804 4494.25
2.67102 170864 4485.87
2.67913 168924 4477.48
2.68725 166981 4469.08
2.69536 165041 4460.7
2.70347 163364 4452.73
2.71159 162036 4445.32
2.7197 160710 4437.91
2.72782 159382 4430.5
2.73593 158056 4423.1
2.74404 156730 4415.69
2.75216 155402 4408.28
2.76027 154076 4400.87
2.76838 152750 4393.47
2.7765 151422 4386.06
2.78461 150096 4378.65
2.79273 148768 4371.24
2.80084 147481 4361.47
2.80895 146539 4331.23
2.81707 145596 4300.96
2.82518 144654 4270.72
2.83329 143712 4240.48
2.84141 142769 4210.21
2.84952 141827 4179.97
2.85764 140884 4149.7
2.86575 139941 4119.46
2.87386 138999 4089.23
2.88198 138056 4058.95
2.89009 137114 4028.72
2.8982 136172 3998.48
2.90632 135399 3966.39
2.91443 134675 3933.81
2.92255 133950 3901.2
2.93066 133227 3868.63
2.93877 132503 3836.06
2.94689 131778 3803.45
2.955 131054 3770.87
2.96311 130330 3738.3
2.97123 129606 3705.69
2.97934 128882 3673.12
2.98746 128157 3640.5
2.99557 127433 3607.93
3.00368 126759 3573.61
3.0118 126142 3537.12
3.01991 125526 3500.69
3.02802 124911 3464.25
3.03614 124294 3427.77
3.04425 123679 3391.33
3.05237 123062 3354.85
3.06048 122446 3318.41
3.06859 121831 3281.97
3.07671 121214 3245.49
3.08482 120598 3209.05
3.09293 119983 3172.61
3.10105 119372 3136.31
3.10916 118800 3101.22
3.11728 118227 3066.08
3.12539 117655 3030.99
3.1335 117084 2995.9
3.14162 116511 2960.76
3.14973 115939 2925.67
3.15784 115367 2890.58
3.16596 114795 2855.45
3.17407 114223 2820.36
3.18219 113650 2785.22
3.1903 113078 2750.13
3.19841 112506 2715.04
3.20653 111946 2684.2
3.21464 111389 2654.45
3.22275 110833 2624.7
3.23087 110275 2594.91
3.23898 109719 2565.15
3.24709 109162 2535.4
3.25521 108605 2505.61
3.26332 108048 2475.86
3.27144 107491 2446.07
3.27955 106934 2416.31
3.28766 106378 2386.56
3.29578 105821 2356.77
3.30389 105270 2331.3
3.312 104727 2310.49
3.32012 104183 2289.64
3.32823 103640 2268.82
3.33635 103096 2247.98
3.34446 102553 2227.16
3.35257 102010 2206.34
3.36069 101466 2185.5
3.3688 100923 2164.68
3.37691 100380 2143.86
