#
# Fitted experimental I(q) and calculated I(q) in multi-column format
#
# Columns 1 though 5 are:
#   1) Q (from experimental data)
#   2) Fitted experimental I(q)
#   3) Experimental error after fit
#   4) Calculated/model I(q) (no fit)
#   5) Error of calculated I(q)
#
   1.26734      5.79781e+06 1.64016e+06      4.67736e+06    42244.1
   1.27546      3.71354e+06 1.59339e+06      4.57906e+06    41712.1
   1.28357      6.20461e+06 1.64206e+06      4.48087e+06    41180.8
   1.29169      6.00172e+06 1.57674e+06      4.38257e+06    40648.8
    1.2998      3.70287e+06 1.61698e+06      4.28438e+06    40117.5
   1.30791      5.80775e+06 1.59803e+06      4.20683e+06    39647.1
   1.31603      4.15115e+06 1.60923e+06      4.1297e+06    39177.7
   1.32414      3.50712e+06 1.58866e+06      4.05267e+06    38708.9
   1.33225      5.25841e+06 1.58554e+06      3.97564e+06      38240
   1.34037      2.81443e+06 1.50604e+06      3.89852e+06    37770.6
   1.34848          185418 1.53504e+06      3.82149e+06    37301.8
    1.3566      4.9467e+06 1.52096e+06      3.74436e+06    36832.4
   1.36471      2.90156e+06 1.59281e+06      3.66733e+06    36363.5
   1.37282      6.35196e+06 1.51585e+06      3.5903e+06    35894.7
   1.38094      6.22969e+06 1.4934e+06      3.51318e+06    35425.3
   1.38905      3.57089e+06 1.52224e+06      3.43615e+06    34956.4
   1.39716      3.56601e+06 1.50985e+06      3.35911e+06    34487.6
   1.40528      3.42093e+06 1.51428e+06      3.2932e+06    34052.5
   1.41339      1.87633e+06 1.51046e+06      3.23338e+06    33636.4
   1.42151      5.47859e+06 1.44565e+06      3.17349e+06    33219.8
   1.42962      3.36495e+06 1.42438e+06      3.11367e+06    32803.7
   1.43773      2.10753e+06 1.49156e+06      3.05386e+06    32387.5
   1.44585      3.75453e+06 1.47019e+06      2.99397e+06    31970.9
   1.45396      2.44295e+06 1.47569e+06      2.93415e+06    31554.8
   1.46207      5.78084e+06 1.44212e+06      2.87434e+06    31138.7
   1.47019      1.63263e+06 1.44737e+06      2.81445e+06    30722.1
    1.4783      2.99093e+06 1.48172e+06      2.75463e+06      30306
   1.48641      1.80762e+06 1.44308e+06      2.69481e+06    29889.9
   1.49453      3.1479e+06 1.44485e+06      2.63492e+06    29473.3
   1.50264      2.75913e+06 1.41383e+06      2.5795e+06    29072.4
   1.51076      2.41493e+06 1.43233e+06      2.5331e+06    28702.7
   1.51887      2.57032e+06 1.46782e+06      2.48677e+06    28333.4
   1.52698      2.18564e+06 1.41145e+06      2.44044e+06    27964.1
    1.5351      2.88617e+06 1.44765e+06      2.39404e+06    27594.4
   1.54321      4.24718e+06 1.43476e+06      2.34771e+06    27225.1
   1.55132      3.1512e+06 1.45006e+06      2.30137e+06    26855.8
   1.55944      2.73849e+06 1.44011e+06      2.25498e+06    26486.1
   1.56755      3.65302e+06 1.44433e+06      2.20865e+06    26116.8
   1.57567      -1.21868e+06 1.42812e+06      2.16225e+06    25747.1
   1.58378      3.37584e+06 1.43656e+06      2.11592e+06    25377.8
   1.59189      2.0102e+06 1.44862e+06      2.06958e+06    25008.6
   1.60001         -387978 1.44121e+06      2.02321e+06    24638.9
   1.60812          926672 1.43075e+06      1.98718e+06      24312
   1.61623      2.96787e+06 1.40597e+06      1.95115e+06    23985.2
   1.62435          765359 1.44454e+06      1.91507e+06    23657.9
   1.63246      2.4184e+06 1.45034e+06      1.87904e+06    23331.1
   1.64058      3.11247e+06 1.4148e+06      1.84297e+06    23003.8
   1.64869      2.32086e+06 1.42926e+06      1.80694e+06    22676.9
    1.6568          632635 1.4276e+06      1.77091e+06    22350.1
   1.66492      5.78387e+06 1.41207e+06      1.73484e+06    22022.8
   1.67303      2.50567e+06 1.46179e+06      1.69881e+06      21696
   1.68114      3.97461e+06 1.4123e+06      1.66278e+06    21369.1
   1.68926      2.01125e+06 1.47836e+06      1.6267e+06    21041.9
   1.69737      2.11386e+06 1.44772e+06      1.59067e+06      20715
   1.70549      -1.11386e+06 1.49384e+06      1.55989e+06    20419.7
    1.7136      2.87299e+06 1.47806e+06      1.53168e+06    20140.1
   1.72171      2.76369e+06 1.47996e+06      1.50347e+06    19860.5
   1.72983      3.16982e+06 1.53444e+06      1.47522e+06    19580.5
   1.73794      2.16658e+06 1.53827e+06      1.44701e+06    19300.9
   1.74605      1.95432e+06 1.50507e+06      1.4188e+06    19021.2
   1.75417        -38219.8 1.5615e+06      1.39055e+06    18741.3
   1.76228      1.4329e+06 1.50919e+06      1.36234e+06    18461.6
    1.7704          528359  1.495e+06      1.33409e+06    18181.7
   1.77851      2.32372e+06 1.51721e+06      1.30588e+06    17902.1
   1.78662      1.33758e+06 1.50505e+06      1.27767e+06    17622.4
   1.79474      1.05802e+06 1.50144e+06      1.24942e+06    17342.5
   1.80285          -51409 1.49991e+06      1.22331e+06    17079.8
   1.81096          867858 1.48091e+06      1.2011e+06    16848.4
   1.81908      1.39222e+06 1.51515e+06      1.17886e+06    16616.8
   1.82719         -675401 1.47241e+06      1.15664e+06    16385.5
   1.83531      3.2913e+06 1.51989e+06      1.1344e+06    16153.8
   1.84342      3.11628e+06 1.49236e+06      1.11218e+06    15922.5
   1.85153         -700073 1.52386e+06      1.08997e+06    15691.1
   1.85965      5.55796e+06 1.5038e+06      1.06773e+06    15459.5
   1.86776      -1.29825e+06 1.54181e+06      1.04551e+06    15228.1
   1.87587      2.43791e+06 1.51934e+06      1.0233e+06    14996.8
   1.88399          745341 1.50785e+06      1.00105e+06    14765.1
    1.8921      2.99862e+06 1.52352e+06          978839    14533.8
   1.90022         59091.7 1.53021e+06          956724    14303.1
   1.90833      1.44937e+06 1.48953e+06          939226    14106.8
   1.91644      1.83317e+06 1.48195e+06          921728    13910.5
   1.92456          528105 1.52238e+06          904208      13714
   1.93267         -379402 1.50677e+06          886710    13517.8
   1.94078      -1.09605e+06 1.50709e+06          869212    13321.5
    1.9489      1.82581e+06 1.50066e+06          851692      13125
   1.95701        -60437.8 1.49487e+06          834194    12928.7
   1.96513      3.07911e+06 1.55064e+06          816674    12732.2
   1.97324      2.08976e+06 1.4967e+06          799176    12535.9
   1.98135         -628744 1.47706e+06          781677    12339.6
   1.98947         -213753 1.49444e+06          764158    12143.1
   1.99758      4.04309e+06 1.50879e+06          746659    11946.9
   2.00569      3.56371e+06 1.47043e+06          731840    11773.1
   2.01381      2.31598e+06 1.48077e+06          718143    11608.7
   2.02192      2.03282e+06 1.53215e+06          704462    11444.5
   2.03004      1.23851e+06 1.49317e+06          690765    11280.1
   2.03815      -1.95196e+06 1.47235e+06          677085    11115.9
   2.04626         -486073 1.4561e+06          663405    10951.7
   2.05438      2.74024e+06 1.48977e+06          649708    10787.3
   2.06249          421100 1.44866e+06          636027    10623.1
    2.0706      -1.91695e+06 1.53391e+06          622347    10458.9
   2.07872      1.76846e+06 1.54223e+06          608650    10294.5
   2.08683          262749 1.48487e+06          594970    10130.3
   2.09494      1.14154e+06 1.49791e+06          581289    9966.12
   2.10306          282125 1.4889e+06          568781    9812.81
   2.11117      1.05061e+06 1.50074e+06          558253    9678.01
   2.11929         -952872 1.47504e+06          547711    9543.04
    2.1274      1.87764e+06 1.52769e+06          537182    9408.24
   2.13551          588810 1.50871e+06          526654    9273.44
   2.14363         -865791 1.52119e+06          516112    9138.47
   2.15174         -401728 1.49928e+06          505584    9003.67
   2.15985         -619305 1.42503e+06          495055    8868.87
   2.16797      -1.01007e+06 1.48436e+06          484513     8733.9
   2.17608      2.46611e+06 1.49725e+06          473985     8599.1
    2.1842         -446564 1.45408e+06          463443    8464.13
   2.19231      1.34438e+06 1.49152e+06          452914    8329.33
   2.20042      -2.04419e+06 1.50357e+06          442521    8195.89
   2.20854      -1.37038e+06 1.47683e+06          434590    8087.22
   2.21665      1.00227e+06 1.47396e+06          426670    7978.68
   2.22476      -2.3204e+06 1.43601e+06          418749    7870.14
   2.23288          466665 1.44093e+06          410818    7761.47
   2.24099          818721 1.49547e+06          402898    7652.94
   2.24911      1.49439e+06 1.48058e+06          394967    7544.27
   2.25722      -2.39425e+06 1.45178e+06          387047    7435.73
   2.26533      2.31427e+06 1.47472e+06          379126    7327.19
   2.27345      2.36575e+06 1.43696e+06          371195    7218.52
   2.28156      1.32304e+06 1.44983e+06          363275    7109.98
   2.28967      -1.02814e+06 1.45106e+06          355354    7001.45
   2.29779          667151 1.45486e+06          347423    6892.78
    2.3059      -1.49695e+06 1.43987e+06          341048    6800.93
   2.31402         -159187 1.46876e+06          335245    6715.22
   2.32213          865259 1.49623e+06          329448    6629.62
   2.33024         -297292 1.51005e+06          323652    6544.02
   2.33836      1.59963e+06 1.42155e+06          317848    6458.31
   2.34647      2.96532e+06 1.51051e+06          312052    6372.71
   2.35458      -1.5463e+06 1.4305e+06          306256    6287.11
    2.3627          260474 1.48928e+06          300452     6201.4
   2.37081          391004  1.512e+06          294656     6115.8
   2.37893         -517724 1.48824e+06          288852    6030.09
   2.38704         -949126 1.46422e+06          283056    5944.49
   2.39515          212969 1.42234e+06          277259    5858.89
   2.40327         -919610 1.45664e+06          272132    5781.85
   2.41138          882360 1.44676e+06          268013    5717.75
   2.41949      2.75176e+06 1.46085e+06          263894    5653.65
   2.42761         -718759 1.46553e+06          259770    5589.47
   2.43572      1.99183e+06 1.41489e+06          255651    5525.36
   2.44384          534313 1.46836e+06          251527    5461.18
   2.45195      1.06485e+06 1.44073e+06          247408    5397.08
   2.46006         84578.6 1.50918e+06          243289    5332.97
   2.46818         -635871 1.39418e+06          239164    5268.79
   2.47629      -2.38181e+06 1.4111e+06          235045    5204.69
    2.4844          813021 1.42074e+06          230926    5140.59
   2.49252      2.25182e+06 1.42277e+06          226802     5076.4
   2.50063          271848 1.46591e+06          222782    5014.39
   2.50875         -210258 1.43498e+06          219927    4977.21
   2.51686      1.24612e+06 1.44819e+06          217077    4940.06
   2.52497      2.68307e+06 1.39802e+06          214226    4902.92
   2.53309          977651 1.45112e+06          211372    4865.73
    2.5412      -1.26874e+06 1.46925e+06          208522    4828.59
   2.54931           89436 1.45111e+06          205671    4791.45
   2.55743       1.142e+06  1.464e+06          202817    4754.26
   2.56554      1.03475e+06 1.39661e+06          199966    4717.12
   2.57366          728936 1.47596e+06          197112    4679.93
   2.58177          315571 1.41054e+06          194262    4642.79
   2.58988         -479286 1.45857e+06          191411    4605.65
     2.598          653005 1.43263e+06          188557    4568.46
   2.60611      -2.84717e+06 1.4184e+06          186392    4552.98
   2.61422          559049 1.39075e+06          184452     4544.6
   2.62234         -729985 1.4027e+06          182510     4536.2
   2.63045          224716 1.43571e+06          180569    4527.81
   2.63857      -1.03765e+06 1.38618e+06          178627    4519.42
   2.64668          882852 1.40823e+06          176687    4511.03
   2.65479      1.19136e+06 1.43648e+06          174747    4502.65
   2.66291          854874 1.4015e+06          172804    4494.25
   2.67102         -536942 1.4659e+06          170864    4485.87
   2.67913          189763 1.42919e+06          168924    4477.48
   2.68725      2.9016e+06 1.41639e+06          166981    4469.08
   2.69536      1.00107e+06 1.42096e+06          165041     4460.7
   2.70347         -899211 1.45234e+06          163364    4452.73
   2.71159      1.62257e+06 1.41899e+06          162036    4445.32
    2.7197      1.47394e+06 1.4319e+06          160710    4437.91
   2.72782      1.75814e+06 1.44777e+06          159382     4430.5
   2.73593      -1.10436e+06 1.39507e+06          158056     4423.1
   2.74404      1.30171e+06 1.43368e+06          156730    4415.69
   2.75216         -184295 1.4282e+06          155402    4408.28
   2.76027      -1.6913e+06 1.42059e+06          154076    4400.87
   2.76838          570563 1.44216e+06          152750    4393.47
    2.7765      -2.21579e+06 1.40464e+06          151422    4386.06
   2.78461      1.18337e+06 1.48376e+06          150096    4378.65
   2.79273      2.29437e+06 1.44746e+06          148768    4371.24
   2.80084         -324546 1.43098e+06          147481    4361.47
   2.80895         -915592 1.38886e+06          146539    4331.23
   2.81707      -1.93968e+06 1.42699e+06          145596    4300.96
   2.82518         -350185 1.39432e+06          144654    4270.72
   2.83329          897311 1.45135e+06          143712    4240.48
   2.84141      1.67718e+06 1.40621e+06          142769    4210.21
   2.84952         -234891 1.42226e+06          141827    4179.97
   2.85764      1.89525e+06 1.43544e+06          140884     4149.7
   2.86575         25440.6 1.39391e+06          139941    4119.46
   2.87386      2.33239e+06 1.38615e+06          138999    4089.23
   2.88198          732605 1.40414e+06          138056    4058.95
   2.89009         -598343 1.38404e+06          137114    4028.72
    2.8982      -1.21377e+06 1.39302e+06          136172    3998.48
   2.90632          379571 1.38202e+06          135399    3966.39
   2.91443      -1.94734e+06 1.39471e+06          134675    3933.81
