"","Conc.Mg","Mg.free","CI95","Condition"
"90",17.8356713426854,0.326846690281997,"0.270597343927982 to 0.399467137094589","Eco80"
"91",18.0360721442886,0.334764596258545,"0.276734793350648 to 0.409390505052079","Eco80"
"92",18.2364729458918,0.342866509601709,"0.282920130293024 to 0.419733992566194","Eco80"
"93",18.436873747495,0.351144427506567,"0.289273336171364 to 0.430269116083867","Eco80"
"94",18.6372745490982,0.359621676509282,"0.295813717185926 to 0.441791630685987","Eco80"
"95",18.8376753507014,0.368285480379029,"0.302630627581471 to 0.45284777257145","Eco80"
"96",19.0380761523046,0.377157939801958,"0.309340513382552 to 0.464559462979737","Eco80"
"97",19.2384769539078,0.386206384134628,"0.316314263846336 to 0.476528548018388","Eco80"
"98",19.438877755511,0.395506909327967,"0.323460349199904 to 0.488552149944592","Eco80"
"99",19.6392785571142,0.404985682465047,"0.33079111247599 to 0.501008092601378","Eco80"
"100",19.8396793587174,0.414699144679691,"0.338188278339 to 0.513930094811711","Eco80"
"101",20.0400801603206,0.424622847884325,"0.345447850680913 to 0.527181661502543","Eco80"
"102",20.2404809619238,0.434770884480905,"0.353275990422708 to 0.54020000877582","Eco80"
"103",20.4408817635271,0.445158780964333,"0.361301665520047 to 0.553923822494558","Eco80"
"104",20.6412825651303,0.455787603685989,"0.369178392063144 to 0.568577201038728","Eco80"
"105",20.8416833667335,0.466653669577465,"0.377822969919415 to 0.582464969632804","Eco80"
"106",21.0420841683367,0.477770593968075,"0.385958210620679 to 0.597549535299396","Eco80"
"107",21.2424849699399,0.489149982701911,"0.394903392717891 to 0.612646764034209","Eco80"
"108",21.4428857715431,0.500785343628032,"0.403890445869615 to 0.627651554303766","Eco80"
"109",21.6432865731463,0.512714213332045,"0.413076329880187 to 0.644294105026223","Eco80"
"110",21.8436873747495,0.524869437715636,"0.422321072713778 to 0.659504828702795","Eco80"
"111",22.0440881763527,0.537352722400472,"0.431216159078567 to 0.676844108602975","Eco80"
"112",22.2444889779559,0.550065495488162,"0.441084582192287 to 0.69244328416796","Eco80"
"113",22.4448897795591,0.563121554978248,"0.450840467799838 to 0.710571962796194","Eco80"
"114",22.6452905811623,0.576449394476091,"0.460877728778026 to 0.727457795001772","Eco80"
"115",22.8456913827655,0.590089712971991,"0.47097196144629 to 0.74664231476515","Eco80"
"116",23.0460921843687,0.603994150488767,"0.481675821296201 to 0.763791494310935","Eco80"
"117",23.2464929859719,0.618256706358113,"0.491876829253363 to 0.782519118211878","Eco80"
"118",23.4468937875751,0.632823359224305,"0.502311849278726 to 0.801102766058882","Eco80"
"119",23.6472945891784,0.647716083491578,"0.513783220511185 to 0.819984591239852","Eco80"
"120",23.8476953907816,0.662934681844366,"0.525356074357155 to 0.840279356511311","Eco80"
"121",24.0480961923848,0.678517118047654,"0.536369737895239 to 0.861249904692956","Eco80"
"122",24.248496993988,0.69438497152034,"0.548150153811681 to 0.88268325991148","Eco80"
"123",24.4488977955912,0.710659254756302,"0.560545307294588 to 0.904397977723366","Eco80"
"124",24.6492985971944,0.727275366111281,"0.572931729409766 to 0.927119774967151","Eco80"
"125",24.8496993987976,0.744224091992437,"0.58538700609062 to 0.949806083871728","Eco80"
"126",25.0501002004008,0.761553295081015,"0.598066857844935 to 0.971556551792851","Eco80"
"127",25.250501002004,0.779235921050643,"0.6111798619279 to 0.995941249543369","Eco80"
"128",25.4509018036072,0.79734514919198,"0.624020087884906 to 1.019584779152","Eco80"
"129",25.6513026052104,0.815784947888759,"0.637466500237101 to 1.0429611160623","Eco80"
"130",25.8517034068136,0.834605529603941,"0.652200472546283 to 1.06830093548129","Eco80"
"131",26.0521042084168,0.853844578234071,"0.666230426711383 to 1.09321134882664","Eco80"
"132",26.25250501002,0.873469427378886,"0.679950409568016 to 1.11885187267962","Eco80"
"133",26.4529058116232,0.893473725359811,"0.695531740570624 to 1.14514144539728","Eco80"
"134",26.6533066132265,0.913889302181952,"0.710859004773216 to 1.17214907398804","Eco80"
"135",26.8537074148297,0.934755635055042,"0.725706577975131 to 1.19892395595683","Eco80"
"136",27.0541082164329,0.955964143069937,"0.741783023814405 to 1.22630877694575","Eco80"
"137",27.2545090180361,0.977619343208976,"0.75814984138855 to 1.25474810329795","Eco80"
"138",27.4549098196393,0.999678216453905,"0.774536776856094 to 1.284003751392","Eco80"
"139",27.6553106212425,1.02221972823897,"0.790855910285559 to 1.31323684793001","Eco80"
"140",27.8557114228457,1.04515195412588,"0.808639289411846 to 1.34267287846521","Eco80"
"141",28.0561122244489,1.06847061044074,"0.825768638785045 to 1.37296328008229","Eco80"
"142",28.2565130260521,1.092279456732,"0.842840966103442 to 1.40369606842263","Eco80"
"143",28.4569138276553,1.11650780487313,"0.860878066068126 to 1.43422575263745","Eco80"
"144",28.6573146292585,1.14120172728829,"0.879499562309876 to 1.46647976896515","Eco80"
"145",28.8577154308617,1.16627732209564,"0.898172599402498 to 1.49845196530913","Eco80"
"146",29.0581162324649,1.19185932746984,"0.916868305100142 to 1.52944641889663","Eco80"
"147",29.2585170340681,1.21788189842544,"0.936817247166308 to 1.56376937231227","Eco80"
"148",29.4589178356713,1.24434127281883,"0.958144382405006 to 1.59733339882793","Eco80"
"149",29.6593186372745,1.27127008593814,"0.978112847274002 to 1.63008311280203","Eco80"
"150",29.8597194388778,1.29863862364643,"0.998904320414337 to 1.66376196906052","Eco80"
"151",30.060120240481,1.32644539718865,"1.02033178162037 to 1.69911017789626","Eco80"
"152",30.2605210420842,1.3547470998692,"1.04290186523374 to 1.7335871919251","Eco80"
"153",30.4609218436874,1.38349379073425,"1.06419843075659 to 1.76987775165867","Eco80"
"154",30.6613226452906,1.41267084593013,"1.08622815418306 to 1.80665468059233","Eco80"
"155",30.8617234468938,1.44233576819505,"1.10810907348088 to 1.84390047058952","Eco80"
