"Temperature","K","SE.K","Fmax","Fmin","Helix","Condition","K_error"
60.72024373,9083233.21996577,4186966.29907571,1.61124283237295,0.916103440981779,"F","Monovalent",0.423570993028423
61.19369118,8056743.9169836,3942507.75415518,1.6121345206306,0.947532977563225,"F","Monovalent",0.423570993028423
61.66477424,7578706.00817306,4003481.90539009,1.61810257073332,0.985908566757479,"F","Monovalent",0.423570993028423
62.13926203,6811783.99076824,3873759.48164225,1.62160058395198,1.01639932726046,"F","Monovalent",0.423570993028423
62.61148,6433846.46946732,3981855.10168728,1.62372007744396,1.05772464918062,"F","Monovalent",0.423570993028423
63.08388712,5952908.64541085,3990067.80626076,1.62499913222724,1.09132116904029,"F","Monovalent",0.423570993028423
63.55619966,5702206.93482538,4106819.59300636,1.62902497116549,1.1273434620141,"F","Monovalent",0.423570993028423
64.02879594,5450557.93941263,4271905.52091087,1.63030271554625,1.16270773588863,"F","Monovalent",0.423570993028423
64.50281085,6033299.43023311,5193526.00466082,1.63420333767438,1.21139277574551,"F","Monovalent",0.423570993028423
64.97644746,7767516.06169199,7340391.24109546,1.63940221429772,1.26560951647149,"F","Monovalent",0.423570993028423
65.44781424,10663206.4782832,11126029.1624875,1.64336388665939,1.31569678954853,"F","Monovalent",0.423570993028423
65.92164,15299215.7793143,18168773.9566391,1.6457243305579,1.35565485690794,"F","Monovalent",0.423570993028423
66.39310136,24113371.4215572,34257947.4171479,1.65179781581095,1.39084757454134,"F","Monovalent",0.423570993028423
66.8670217,27477950.7698195,42438255.2807642,1.65151502221279,1.40729331730888,"F","Monovalent",0.423570993028423
67.34018542,40844679.6443058,75585422.1143899,1.65277150968912,1.42881578260131,"F","Monovalent",0.423570993028423
67.81230882,50158529.6122185,104348829.631355,1.65350668053341,1.43930052925329,"F","Monovalent",0.423570993028423
68.28499966,55711279.9500981,129938183.259335,1.64884110811506,1.44912603530002,"F","Monovalent",0.423570993028423
68.75910915,66468539.8615543,177789326.417677,1.64604703506287,1.45691967947808,"F","Monovalent",0.423570993028423
69.23066509,78391639.3950819,241566545.303584,1.64281311763786,1.46560159112101,"F","Monovalent",0.423570993028423
69.70609864,139764792.263747,595264346.742739,1.64266055621961,1.47488015931936,"F","Monovalent",0.423570993028423
70.17841118,191020258.089093,1007511620.99864,1.64084340542891,1.48090842629417,"F","Monovalent",0.423570993028423
70.65223694,344055007.884133,2603427847.06967,1.63832548675793,1.48617731243455,"F","Monovalent",0.423570993028423
71.12265797,473238470.519531,4422552659.64573,1.63717744549995,1.4903263548585,"F","Monovalent",0.423570993028423
71.59563254,571123595.983188,6058425106.63006,1.63717503518975,1.49186067955285,"F","Monovalent",0.423570993028423
72.06841797,897749705.366022,12465868706.6415,1.63442446741586,1.49351554576663,"F","Monovalent",0.423570993028423
72.54044678,587313513.788017,6604118643.27901,1.63513811213392,1.49359906867738,"F","Monovalent",0.423570993028423
73.01361051,1284655963.5492,21906181736.3156,1.63417036149043,1.49523114853438,"F","Monovalent",0.423570993028423
73.48677424,993974718.668181,15136660955.3087,1.63387126781001,1.4951985077247,"F","Monovalent",0.423570993028423
73.95984339,1596414203.90863,30558979750.4895,1.63263769185545,1.49425428260219,"F","Monovalent",0.423570993028423
74.43338542,1368300738.28536,24751028132.1508,1.63220938756993,1.49351368832077,"F","Monovalent",0.423570993028423
74.90758949,1496996125.14898,28495739754.6472,1.63177111323708,1.49368567200442,"F","Monovalent",0.423570993028423
75.37952373,1305679351.17041,23148331483.516,1.63181374096315,1.49193939310776,"F","Monovalent",0.423570993028423
75.85259288,1290932993.4066,23054190716.4179,1.62997938689653,1.49029352442765,"F","Monovalent",0.423570993028423
76.32518915,1752448190.04174,35815733000.4178,1.63157432630308,1.48940118981027,"F","Monovalent",0.423570993028423
76.79844746,1836343178.85224,39126413109.8794,1.62906531337244,1.48759377188344,"F","Monovalent",0.423570993028423
77.27047627,2395898708.52245,59464921642.2684,1.62524479766879,1.48638756241331,"F","Monovalent",0.423570993028423
77.74184306,2022952651.47428,45640544108.9208,1.62604247629544,1.48407468435855,"F","Monovalent",0.423570993028423
78.21595254,1627906261.8175,33043431503.4896,1.62430509429683,1.4811638992464,"F","Monovalent",0.423570993028423
78.68968373,1921912614.16864,42747199877.7794,1.62061115527545,1.47864349459507,"F","Monovalent",0.423570993028423
79.16019933,2138727696.91149,48755986113.8317,1.62379602329257,1.47591336577683,"F","Monovalent",0.423570993028423
79.63497085,1451244626.74116,27369590358.159,1.62090473333523,1.47314838772298,"F","Monovalent",0.423570993028423
80.10879661,1895072847.01177,40304741834.3727,1.62029584380665,1.4707043392193,"F","Monovalent",0.423570993028423
23.36404779,181416482.52074,64271072.0264868,5.01782540285593,0.184819331439043,"G","Monovalent",0.579448470559525
23.83872474,179198592.684655,63157071.3574194,5.00841699998952,0.186700628952812,"G","Monovalent",0.579448470559525
24.30990237,175966750.296826,61426387.5745142,4.99851814508588,0.188494267747091,"G","Monovalent",0.579448470559525
24.7790939,173535364.927876,60270952.8394384,4.98646508441109,0.190398498195621,"G","Monovalent",0.579448470559525
25.25263594,170786997.947198,59517049.2132939,4.97769659658834,0.1920757754636,"G","Monovalent",0.579448470559525
25.72835322,167428905.092952,57369597.0886431,4.96068144306769,0.193989774638242,"G","Monovalent",0.579448470559525
26.20085491,164255770.937205,56142678.7994324,4.94656950504348,0.195074809454169,"G","Monovalent",0.579448470559525
